Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-11-01 00:00:00
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,0.626,0.7241,0.9101,0.8147,0.9435,1.0
Leste,Camaçari,290860,Conde,0.4969,0.5097,0.3919,0.3925,0.4038,0.4006
Sudoeste,Vitória da Conquista,290870,Condeúba,0.942,0.9442,0.9463,1.0,1.0,1.0
Sudoeste,Brumado,290880,Contendas do Sincorá,1.0,1.0,1.0,1.0,1.0,0.0
Centro Leste,Feira de Santana,290890,Coração de Maria,0.5941,0.7064,0.8263,0.9541,1.0,0.6105
Sudoeste,Vitória da Conquista,290900,Cordeiros,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,290910,Coribe,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,290920,Coronel João Sá,0.5998,0.6053,0.6106,0.6156,0.8449,0.8399
Oeste,Santa Maria da Vitória,290930,Correntina,0.4035,0.5379,0.4012,0.58,0.6172,0.8168
Oeste,Barreiras,290940,Cotegipe,0.4793,0.2395,1.0,1.0,1.0,1.0
Sul,Jequié,290950,Cravolândia,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290960,Crisópolis,0.4807,0.4788,0.477,0.474,0.6345,0.6326
Oeste,Barreiras,290970,Cristópolis,0.7265,0.9334,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,290980,Cruz das Almas,0.6422,0.5911,0.5879,0.5845,0.6036,0.593
Norte,Juazeiro,290990,Curaçá,0.2959,0.294,0.378,0.3885,0.5889,0.5965
Sul,Jequié,291000,Dário Meira,0.8491,0.8609,0.8724,0.8834,0.949,0.9664
Leste,Camaçari,291005,Dias d'Ávila,0.3602,0.442,0.478,0.6825,0.7511,0.7492
Sudoeste,Brumado,291010,Dom Basílio,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,291020,Dom Macedo Costa,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,291030,Elísio Medrado,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,291040,Encruzilhada,0.9708,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,291050,Entre Rios,0.1611,0.3209,0.3197,0.3193,0.3313,0.438
Sudoeste,Brumado,290050,Érico Cardoso,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,291060,Esplanada,0.3798,0.5514,0.8009,0.4558,0.4677,0.4632
Centro Leste,Serrinha,291070,Euclides da Cunha,0.2831,0.2819,0.2775,0.4554,0.6768,0.6685
Extremo Sul,Porto Seguro,291072,Eunápolis,0.6159,0.6096,0.6038,0.7442,0.8213,0.8176
Nordeste,Ribeira do Pombal,291075,Fátima,0.7459,0.7467,0.5606,0.7483,0.784,0.3857
Sudoeste,Guanambi,291077,Feira da Mata,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,291080,Feira de Santana,0.3404,0.3291,0.372,0.3655,0.3549,0.3242
Norte,Senhor do Bonfim,291085,Filadélfia,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291090,Firmino Alves,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,291100,Floresta Azul,0.9117,0.6099,0.9176,0.6137,0.9686,0.9738
Oeste,Barreiras,291110,Formosa do Rio Preto,0.688,0.4493,0.6725,0.6657,0.6815,0.9085
Sul,Valença,291120,Gandu,0.2085,0.2103,0.4042,0.4152,0.5357,0.3194
Centro Leste,Feira de Santana,291125,Gavião,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291130,Gentio do Ouro,0.6063,0.302,1.0,1.0,1.0,1.0
Norte,Paulo Afonso,291140,Glória,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,291150,Gongogi,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,291160,Governador Mangabeira,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,291165,Guajeru,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291170,Guanambi,0.901,0.9179,0.8984,1.0,1.0,1.0
Extremo Sul,Porto Seguro,291180,Guaratinga,0.4607,0.463,0.4651,0.6229,0.4931,0.4966
Nordeste,Ribeira do Pombal,291185,Heliópolis,0.2503,0.2507,0.0,0.2515,0.2638,0.2648
Centro Leste,Itaberaba,291190,Iaçu,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291200,Ibiassucê,0.9692,0.9855,1.0,1.0,1.0,1.0
Sul,Itabuna,291210,Ibicaraí,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,291220,Ibicoara,0.8934,0.353,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291230,Ibicuí,1.0,1.0,0.824,1.0,1.0,0.0
Centro Norte,Irecê,291240,Ibipeba,0.7443,0.739,0.7434,0.7388,0.7626,0.9472
Sudoeste,Brumado,291250,Ibipitanga,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,291260,Ibiquera,0.67,0.6689,0.8201,0.8187,0.8533,0.8531
Sul,Itabuna,291270,Ibirapitanga,0.4291,0.5707,0.5694,0.5681,1.0,0.8856
Extremo Sul,Teixeira de Freitas,291280,Ibirapuã,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291290,Ibirataia,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Seabra,291300,Ibitiara,1.0,0.9791,0.8225,1.0,1.0,1.0
Centro Norte,Irecê,291310,Ibititá,0.5523,0.9211,0.9606,0.9611,1.0,0.9817
Oeste,Ibotirama,291320,Ibotirama,0.9907,0.9817,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,291330,Ichu,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291340,Igaporã,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Valença,291345,Igrapiúna,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291350,Iguaí,0.8717,0.8691,0.9044,0.7409,0.7704,0.7691
Sul,Ilhéus,291360,Ilhéus,0.1575,0.1896,0.3076,0.4432,0.5378,0.5905
Nordeste,Alagoinhas,291370,Inhambupe,0.6825,0.7479,0.6747,0.8083,0.9418,0.8679
Centro Leste,Feira de Santana,291380,Ipecaetá,0.2207,0.2223,0.4424,0.6678,0.7077,0.7144
Sul,Jequié,291390,Ipiaú,0.4368,0.4358,0.6428,0.6415,0.6678,0.7325
Centro Leste,Feira de Santana,291400,Ipirá,0.5163,0.1667,0.1651,0.1102,0.1732,0.0755
Oeste,Ibotirama,291410,Ipupiara,0.6863,0.6378,0.6827,0.6793,0.7029,0.3497
Sul,Jequié,291420,Irajuba,0.927,0.9234,0.9204,0.9174,0.9526,0.9504
Sul,Jequié,291430,Iramaia,0.6384,0.658,0.6775,0.9999,1.0,0.8082
Centro Leste,Seabra,291440,Iraquara,0.9773,0.9658,0.9553,0.9457,1.0,1.0
Centro Leste,Feira de Santana,291450,Irará,0.5794,0.8063,0.9286,0.6928,0.8359,1.0
Centro Norte,Irecê,291460,Irecê,0.2846,0.417,0.4607,0.6022,0.7149,0.8511
Extremo Sul,Porto Seguro,291465,Itabela,0.7828,0.7777,0.7729,0.7686,0.7941,0.8877
Centro Leste,Itaberaba,291470,Itaberaba,0.4178,0.5655,0.6667,0.8644,0.8511,0.942
Sul,Itabuna,291480,Itabuna,0.3953,0.3619,0.3417,0.4967,0.5493,0.4362
Sul,Ilhéus,291490,Itacaré,0.6177,0.4997,0.4926,0.5919,0.4948,0.6096
Centro Leste,Itaberaba,291500,Itaeté,1.0,0.2098,0.4177,0.416,0.4313,0.6446
Sul,Jequié,291510,Itagi,0.7696,0.7748,0.7796,0.7842,1.0,1.0
Sul,Jequié,291520,Itagibá,0.9357,0.6564,0.852,0.9533,1.0,0.9157
Extremo Sul,Porto Seguro,291530,Itagimirim,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291535,Itaguaçu da Bahia,0.9496,0.9409,1.0,0.9376,0.9643,0.9564
Sul,Itabuna,291540,Itaju do Colônia,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,291550,Itajuípe,0.9282,0.9309,0.795,0.7971,0.8379,1.0
Extremo Sul,Teixeira de Freitas,291560,Itamaraju,0.3081,0.3078,0.3076,0.3073,0.3208,0.2675
Sul,Jequié,291570,Itamari,0.8085,0.8104,0.8122,0.407,0.8551,0.8587
Sudoeste,Itapetinga,291580,Itambé,0.5676,0.5723,0.7258,0.8132,0.8862,0.8981
Nordeste,Alagoinhas,291590,Itanagra,0.8594,0.8588,0.8584,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,291600,Itanhém,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,291610,Itaparica,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,291620,Itapé,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Porto Seguro,291630,Itapebi,1.0,0.9511,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291640,Itapetinga,0.5488,0.5434,0.5385,0.5727,0.6281,0.6284
Nordeste,Alagoinhas,291650,Itapicuru,0.9009,0.9337,0.6278,0.7912,0.9105,0.9023
Sul,Itabuna,291660,Itapitanga,0.9168,0.6389,0.6389,0.6389,0.6681,0.6691
Sul,Jequié,291670,Itaquara,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291680,Itarantim,0.6686,0.6645,0.9576,0.6572,0.8322,0.6761
Leste,Santo Antônio de Jesus,291685,Itatim,0.9394,0.9348,1.0,0.692,0.7172,0.7144
Sul,Jequié,291690,Itiruçu,0.7424,0.5185,1.0,1.0,1.0,0.5487
Norte,Senhor do Bonfim,291700,Itiúba,0.5389,0.5378,0.828,0.8265,0.861,0.8604
Sudoeste,Itapetinga,291710,Itororó,0.979,0.9774,0.976,0.9745,1.0,1.0
Sudoeste,Brumado,291720,Ituaçu,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Valença,291730,Ituberá,0.4769,0.4741,0.4714,0.4689,0.6062,0.4825
Sudoeste,Guanambi,291733,Iuiú,0.9164,0.9134,0.9106,0.908,0.9436,1.0
Oeste,Santa Maria da Vitória,291735,Jaborandi,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291740,Jacaraci,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,291750,Jacobina,0.5374,0.6243,0.7101,0.7622,0.8359,0.9017
Sul,Jequié,291760,Jaguaquara,0.3755,0.4274,0.4332,0.4845,0.4459,0.4437
Norte,Senhor do Bonfim,291770,Jaguarari,1.0,1.0,1.0,1.0,0.9301,0.9249
Leste,Santo Antônio de Jesus,291780,Jaguaripe,0.9359,0.9251,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,291790,Jandaíra,0.9383,0.9356,0.9331,0.9308,1.0,1.0
Sul,Jequié,291800,Jequié,0.6758,0.7048,0.871,0.8443,0.9618,0.98
Norte,Paulo Afonso,291810,Jeremoabo,0.5067,0.5036,0.5002,0.6886,0.6003,0.5116
Leste,Santo Antônio de Jesus,291820,Jiquiriçá,0.4602,0.459,0.6867,0.9135,0.9507,1.0
Sul,Jequié,291830,Jitaúna,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291835,João Dourado,0.0,0.2566,0.2536,0.7896,0.8112,0.9409
Norte,Juazeiro,291840,Juazeiro,0.7306,0.7111,0.7205,0.7447,0.7954,0.76
Extremo Sul,Teixeira de Freitas,291845,Jucuruçu,1.0,0.6799,0.3439,0.3476,0.3721,0.0
Centro Norte,Irecê,291850,Jussara,1.0,0.4356,0.8622,1.0,1.0,1.0
Sul,Itabuna,291855,Jussari,1.0,0.5409,1.0,1.0,1.0,1.0
Sudoeste,Brumado,291860,Jussiape,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291870,Lafaiete Coutinho,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291875,Lagoa Real,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,291880,Laje,0.9615,0.866,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,291890,Lajedão,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,291900,Lajedinho,0.864,0.8681,0.8557,0.8588,0.906,0.912
Sul,Jequié,291905,Lajedo do Tabocal,0.7832,0.7809,1.0,1.0,1.0,0.4029
Centro Leste,Serrinha,291910,Lamarão,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291915,Lapão,0.6288,0.7522,0.6124,0.9772,1.0,1.0
Leste,Salvador,291920,Lauro de Freitas,0.4412,0.4192,0.4408,0.592,0.6074,0.5579
Centro Leste,Seabra,291930,Lençóis,0.6085,0.6029,0.8966,1.0,1.0,1.0
Sudoeste,Guanambi,291940,Licínio de Almeida,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,291950,Livramento de Nossa Senhora,0.6802,0.8993,0.8923,0.8858,0.9121,0.9709
Oeste,Barreiras,291955,Luís Eduardo Magalhães,0.5417,0.6082,0.6699,0.6552,0.6867,0.665
Centro Leste,Itaberaba,291960,Macajuba,0.8745,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291970,Macarani,0.5562,0.7346,0.7281,0.7221,0.7423,0.7358
Sudoeste,Brumado,291980,Macaúbas,0.4152,0.4118,0.4088,0.406,0.4184,0.4064
Norte,Paulo Afonso,291990,Macururé,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,291992,Madre de Deus,1.0,1.0,1.0,0.9854,0.9982,0.9814
Sudoeste,Vitória da Conquista,291995,Maetinga,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,292000,Maiquinique,0.3458,0.3422,0.3388,0.6716,0.6889,0.6824
Centro Norte,Jacobina,292010,Mairi,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,292020,Malhada,0.9905,1.0,0.9862,1.0,1.0,1.0
Sudoeste,Brumado,292030,Malhada de Pedras,0.7737,0.7756,1.0,1.0,1.0,1.0
Sul,Jequié,292040,Manoel Vitorino,0.708,0.9215,0.9607,0.9684,1.0,1.0
Oeste,Barreiras,292045,Mansidão,0.4725,0.4687,0.4652,0.2472,0.5094,0.5058
Sul,Jequié,292050,Maracás,0.5713,0.7263,0.5904,0.8993,0.9721,0.9936
Leste,Cruz das Almas,292060,Maragogipe,0.6009,0.5986,0.7483,0.7458,0.8518,0.7722
Sul,Itabuna,292070,Maraú,1.0,1.0,0.9743,1.0,1.0,1.0
Centro Leste,Itaberaba,292080,Marcionílio Souza,0.9442,0.6301,0.6307,0.6312,0.6613,0.6631
Sul,Ilhéus,292090,Mascote,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Camaçari,292100,Mata de São João,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,292105,Matina,1.0,1.0,1.0,0.8288,1.0,1.0
Extremo Sul,Teixeira de Freitas,292110,Medeiros Neto,1.0,1.0,1.0,1.0,1.0,0.9124
Centro Norte,Jacobina,292120,Miguel Calmon,0.3746,0.3759,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,292130,Milagres,0.0,0.2573,0.0,0.5956,0.6268,1.0
Centro Norte,Jacobina,292140,Mirangaba,0.7718,0.5738,0.9038,0.921,0.9481,0.9407
Sudoeste,Vitória da Conquista,292145,Mirante,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,292150,Monte Santo,0.7554,0.4412,0.398,0.4648,0.4872,0.4887
Oeste,Ibotirama,292160,Morpará,0.7686,0.7695,0.7703,0.7709,0.8078,0.81
