Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-11-01 00:00:00
Centro Leste,Serrinha,292610,Retirolândia,0.7836,0.7771,0.9435,0.9369,0.9654,1.0
Oeste,Barreiras,292620,Riachão das Neves,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,0.671,0.5847,0.6957,0.6943,0.7095,0.6191
Sudoeste,Guanambi,292640,Riacho de Santana,0.7705,0.8616,0.8566,0.7574,0.8811,1.0
Nordeste,Ribeira do Pombal,292650,Ribeira do Amparo,1.0,0.6778,0.8721,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,292660,Ribeira do Pombal,0.5321,0.528,0.6764,0.655,0.8951,1.0
Sudoeste,Vitória da Conquista,292665,Ribeirão do Largo,0.7919,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,292670,Rio de Contas,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,292680,Rio do Antônio,0.6665,0.6623,0.8779,0.8732,0.9026,0.8978
Sudoeste,Brumado,292690,Rio do Pires,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,292700,Rio Real,0.7664,0.0845,0.7959,0.4956,0.5114,0.4235
Norte,Paulo Afonso,292710,Rodelas,0.3937,0.3882,0.3711,0.9537,0.9736,1.0
Centro Leste,Itaberaba,292720,Ruy Barbosa,0.6514,0.6496,0.8643,0.97,1.0,1.0
Leste,Santo Antônio de Jesus,292730,Salinas da Margarida,0.4548,0.4485,0.4427,0.6562,1.0,0.8808
Leste,Salvador,292740,Salvador,0.2771,0.2568,0.2727,0.3252,0.3658,0.3605
Centro Leste,Feira de Santana,292750,Santa Bárbara,0.0,0.0,0.0,0.0,0.0,0.0
Norte,Paulo Afonso,292760,Santa Brígida,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Porto Seguro,292770,Santa Cruz Cabrália,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,292780,Santa Cruz da Vitória,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,292790,Santa Inês,0.9253,0.5771,0.9267,0.9273,1.0,0.9312
Sul,Ilhéus,292805,Santa Luzia,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,292810,Santa Maria da Vitória,0.4951,0.3302,0.578,0.4956,0.5185,0.8546
Oeste,Barreiras,292840,Santa Rita de Cássia,0.7227,0.5985,0.7141,0.7102,0.8939,0.7305
Leste,Santo Antônio de Jesus,292850,Santa Teresinha,1.0,1.0,1.0,0.6038,1.0,1.0
Centro Leste,Serrinha,292800,Santaluz,0.094,0.0935,0.1805,0.4372,0.5934,0.6306
Oeste,Santa Maria da Vitória,292820,Santana,0.6358,0.7594,0.756,0.7529,0.7806,0.7778
Centro Leste,Feira de Santana,292830,Santanópolis,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,292860,Santo Amaro,0.6165,0.6151,0.7253,0.6682,0.804,0.854
Leste,Santo Antônio de Jesus,292870,Santo Antônio de Jesus,0.6131,0.6071,0.6016,0.4964,0.6426,0.6413
Centro Leste,Feira de Santana,292880,Santo Estêvão,0.8624,1.0,1.0,0.9601,0.9874,1.0
Oeste,Barreiras,292890,São Desidério,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,292895,São Domingos,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,292910,São Felipe,0.9606,1.0,0.9437,0.9425,0.9825,0.9823
Leste,Cruz das Almas,292900,São Félix,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,292905,São Félix do Coribe,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,292920,São Francisco do Conde,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,292925,São Gabriel,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,0.9296,0.9986,0.9167,0.9075,0.836,1.0
Sul,Itabuna,292935,São José da Vitória,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,292937,São José do Jacuípe,0.8998,0.0,0.9641,0.9598,1.0,0.9893
Leste,Santo Antônio de Jesus,292940,São Miguel das Matas,0.8652,1.0,0.8588,0.8559,0.8888,0.8865
Leste,Salvador,292950,São Sebastião do Passé,0.6856,0.6728,0.7556,0.7528,0.9272,0.8025
Leste,Cruz das Almas,292960,Sapeaçu,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,292970,Sátiro Dias,0.3406,0.3396,0.8466,0.8444,0.8781,0.3995
Leste,Salvador,292975,Saubara,0.5674,0.5638,0.5605,0.5574,0.5761,0.5729
Centro Norte,Jacobina,292980,Saúde,0.5436,0.2708,0.7757,0.7733,1.0,1.0
Centro Leste,Seabra,292990,Seabra,0.4067,0.4048,0.5452,0.6748,0.7203,0.6838
Sudoeste,Guanambi,293000,Sebastião Laranjeiras,1.0,1.0,0.8911,0.8849,0.9118,0.9052
Norte,Senhor do Bonfim,293010,Senhor do Bonfim,0.4269,0.2545,0.6351,0.6741,0.6967,0.6549
Norte,Juazeiro,293020,Sento Sé,0.1825,0.1809,0.1912,0.154,0.0848,0.0848
Oeste,Santa Maria da Vitória,293015,Serra do Ramalho,0.0,0.0,0.3136,0.4819,0.5185,0.5052
Oeste,Santa Maria da Vitória,293030,Serra Dourada,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,293040,Serra Preta,0.8899,0.899,0.8534,0.8606,1.0,1.0
Centro Leste,Serrinha,293050,Serrinha,0.5385,0.4341,0.492,0.5272,0.6361,0.7068
Centro Norte,Jacobina,293060,Serrolândia,0.7777,0.7739,0.7514,0.9977,1.0,1.0
Leste,Camaçari,293070,Simões Filho,0.4513,0.4009,0.3798,0.376,0.5282,0.6419
Oeste,Santa Maria da Vitória,293075,Sítio do Mato,1.0,1.0,0.7735,0.7703,1.0,0.7954
Nordeste,Ribeira do Pombal,293076,Sítio do Quinto,0.2867,0.2932,0.5991,1.0,1.0,1.0
Norte,Juazeiro,293077,Sobradinho,0.5168,0.5852,0.5835,0.582,1.0,0.8926
Centro Leste,Seabra,293080,Souto Soares,0.9745,0.7703,0.9903,1.0,1.0,1.0
Oeste,Barreiras,293090,Tabocas do Brejo Velho,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,293100,Tanhaçu,0.9735,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,293105,Tanque Novo,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,293110,Tanquinho,0.4044,0.4034,0.42,0.8382,0.8724,0.8714
Sul,Valença,293120,Taperoá,0.4955,0.4907,0.4863,0.4822,0.4955,0.4911
Centro Norte,Jacobina,293130,Tapiramutá,0.9906,0.9915,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,293135,Teixeira de Freitas,0.5734,0.6283,0.5829,0.5761,0.6314,0.6234
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,293150,Teofilândia,0.4511,0.4302,0.2959,0.2951,0.4604,0.7661
Sul,Valença,293160,Teolândia,1.0,1.0,0.9038,1.0,1.0,1.0
Centro Leste,Feira de Santana,293170,Terra Nova,1.0,1.0,1.0,1.0,1.0,1.0
