Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,95.73170731707317,95.26627218934911,98.01324503311258,88.19444444444444,90.78947368421053,87.13450292397661,83.62068965517241,93.7888198757764,86.81318681318682,81.59509202453988,84.29319371727749
Centro Leste,Feira de Santana,290150,Anguera,90.9090909090909,96.61016949152543,80.7017543859649,92.53731343283582,89.85507246376811,89.83050847457628,78.94736842105263,82.35294117647058,85.33333333333333,77.02702702702703,59.154929577464785
Centro Leste,Feira de Santana,290170,Antônio Cardoso,81.81818181818183,77.46478873239437,78.57142857142857,79.71014492753623,82.75862068965517,84.50704225352112,71.875,83.60655737704919,72.97297297297297,69.56521739130434,77.58620689655172
Centro Leste,Feira de Santana,290260,Baixa Grande,78.0952380952381,59.59595959595959,71.66666666666667,75.83333333333333,63.41463414634146,78.78787878787878,77.6978417266187,63.975155279503106,81.81818181818181,89.87341772151899,87.74193548387098
Centro Leste,Feira de Santana,290640,Candeal,73.4375,62.0,64.44444444444444,66.12903225806451,66.0,51.85185185185185,58.139534883720934,62.857142857142854,64.28571428571428,72.88135593220339,71.1864406779661
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,91.93548387096774,90.0,84.61538461538461,75.47169811320755,83.63636363636363,70.0,77.77777777777779,59.523809523809526,77.02702702702703,83.14606741573033,71.26436781609195
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,81.95876288659794,98.4251968503937,92.26519337016575,86.875,79.52380952380952,84.86238532110092,88.10572687224669,86.27450980392157,83.17757009345794,77.93427230046949,81.19658119658119
Centro Leste,Feira de Santana,290890,Coração de Maria,70.54794520547945,64.93506493506493,57.03703703703704,54.929577464788736,61.71875,83.33333333333334,89.13043478260869,83.04093567251462,83.13953488372093,80.98159509202453,85.96491228070175
Centro Leste,Feira de Santana,291080,Feira de Santana,95.32622333751569,95.02304147465438,93.28290468986384,89.41454760496748,85.12534818941504,79.5400475812847,82.69858541893362,83.0575256107171,84.46054750402577,85.59939683337522,79.38880214142316
Centro Leste,Feira de Santana,291125,Gavião,94.11764705882352,64.70588235294117,66.66666666666666,53.333333333333336,53.57142857142857,60.71428571428571,72.72727272727273,68.75,85,63.15789473684211,60.0
Centro Leste,Feira de Santana,291330,Ichu,100.0,81.08108108108108,61.904761904761905,86.8421052631579,86.20689655172413,57.49999999999999,82.14285714285714,97.22222222222221,71.875,88.63636363636364,80.0
Centro Leste,Feira de Santana,291380,Ipecaetá,84.4155844155844,75.90361445783132,64.86486486486487,74.15730337078652,77.10843373493977,77.77777777777779,75.60975609756098,85.84070796460178,79.01234567901236,85.29411764705883,70.6896551724138
Centro Leste,Feira de Santana,291400,Ipirá,74.12587412587412,58.22784810126582,71.28463476070529,67.27748691099477,58.13333333333334,52.49457700650759,59.726027397260275,58.595641646489106,64.07322654462243,57.756563245823386,52.14285714285714
Centro Leste,Feira de Santana,291450,Irará,64.63414634146342,67.97752808988764,65.68047337278107,85.97560975609755,85.29411764705883,70.3883495145631,68.34170854271356,92.03980099502488,91.78082191780823,85.78199052132702,74.76190476190476
Centro Leste,Feira de Santana,292210,Mundo Novo,84.28571428571429,61.97183098591549,83.87096774193549,55.28455284552846,59.154929577464785,62.68656716417911,60.78431372549019,55.00000000000001,65.07936507936509,90.37037037037037,84.90566037735849
