Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Leste,Salvador,291610,Itaparica,28.0,34.0,27,30,35.0,28,31.0,26.0,24.0,37.0,28.0
Leste,Salvador,291920,Lauro de Freitas,208.0,254.0,246,240,307.0,283,312.0,299.0,265.0,286.0,250.0
Leste,Salvador,291992,Madre de Deus,24.0,32.0,27,22,28.0,29,26.0,22.0,26.0,26.0,15.0
Leste,Salvador,292740,Salvador,3829.0,3939.0,3947,3922,4125.0,4008,3875.0,4085.0,4042.0,3908.0,3114.0
Leste,Salvador,292860,Santo Amaro,90.0,79.0,95,74,107.0,106,79.0,93.0,84.0,79.0,81.0
Leste,Salvador,292920,São Francisco do Conde,45.0,50.0,61,47,50.0,48,53.0,52.0,67.0,59.0,46.0
Leste,Salvador,292950,São Sebastião do Passé,42.0,51.0,46,59,50.0,59,54.0,57.0,57.0,58.0,53.0
Leste,Salvador,292975,Saubara,7.0,17.0,20,18,13.0,19,6.0,14.0,16.0,15.0,18.0
Leste,Salvador,293320,Vera Cruz,52.0,53.0,47,59,60.0,77,65.0,65.0,46.0,70.0,66.0
Leste,Santo Antônio de Jesus,290100,Amargosa,33.0,51.0,37,41,43.0,43,49.0,49.0,43.0,55.0,45.0
Leste,Santo Antônio de Jesus,290230,Aratuípe,7.0,6.0,5,13,12.0,17,11.0,7.0,18.0,16.0,8.0
Leste,Santo Antônio de Jesus,290730,Castro Alves,23.0,37.0,39,30,28.0,28,31.0,45.0,57.0,27.0,27.0
Leste,Santo Antônio de Jesus,290830,Conceição do Almeida,24.0,17.0,31,28,21.0,24,33.0,25.0,25.0,28.0,28.0
Leste,Santo Antônio de Jesus,291020,Dom Macedo Costa,11.0,3.0,8,4,9.0,8,7.0,5.0,4.0,7.0,5.0
Leste,Santo Antônio de Jesus,291030,Elísio Medrado,13.0,10.0,13,10,12.0,11,9.0,6.0,10.0,10.0,10.0
Leste,Santo Antônio de Jesus,291685,Itatim,14.0,18.0,13,19,17.0,27,18.0,16.0,12.0,21.0,15.0
Leste,Santo Antônio de Jesus,291780,Jaguaripe,12.0,17.0,16,20,24.0,14,18.0,26.0,17.0,24.0,13.0
Leste,Santo Antônio de Jesus,291820,Jiquiriçá,12.0,12.0,15,12,13.0,18,14.0,16.0,17.0,20.0,24.0
Leste,Santo Antônio de Jesus,291880,Laje,29.0,38.0,21,22,28.0,33,31.0,30.0,22.0,32.0,19.0
Leste,Santo Antônio de Jesus,292130,Milagres,16.0,22.0,12,11,15.0,18,13.0,12.0,16.0,17.0,21.0
Leste,Santo Antônio de Jesus,292220,Muniz Ferreira,8.0,10.0,14,10,14.0,10,15.0,11.0,17.0,9.0,7.0
Leste,Santo Antônio de Jesus,292240,Mutuípe,32.0,27.0,24,31,31.0,24,24.0,27.0,26.0,21.0,22.0
Leste,Santo Antônio de Jesus,292250,Nazaré,45.0,42.0,28,43,42.0,46,54.0,51.0,43.0,48.0,39.0
Leste,Santo Antônio de Jesus,292575,Presidente Tancredo Neves,16.0,18.0,29,22,17.0,21,39.0,24.0,42.0,27.0,19.0
Leste,Santo Antônio de Jesus,292730,Salinas da Margarida,14.0,21.0,22,15,14.0,30,18.0,21.0,21.0,20.0,20.0
Leste,Santo Antônio de Jesus,292850,Santa Teresinha,15.0,15.0,11,14,16.0,8,11.0,17.0,11.0,17.0,17.0
Leste,Santo Antônio de Jesus,292870,Santo Antônio de Jesus,132.0,137.0,142,126,129.0,127,128.0,154.0,158.0,145.0,148.0
Leste,Santo Antônio de Jesus,292910,São Felipe,35.0,23.0,35,22,31.0,25,27.0,19.0,37.0,29.0,24.0
Leste,Santo Antônio de Jesus,292940,São Miguel das Matas,10.0,17.0,11,15,8.0,12,13.0,13.0,7.0,15.0,19.0
Leste,Santo Antônio de Jesus,293210,Ubaíra,24.0,30.0,24,21,24.0,17,23.0,26.0,32.0,33.0,31.0
Leste,Santo Antônio de Jesus,293317,Varzedo,15.0,18.0,6,10,13.0,11,13.0,14.0,12.0,11.0,18.0
Nordeste,Alagoinhas,290030,Acajutiba,21.0,20.0,10,18,19.0,20,17.0,10.0,19.0,22.0,17.0
Nordeste,Alagoinhas,290070,Alagoinhas,203.0,214.0,205,230,206.0,201,211.0,204.0,247.0,249.0,201.0
Nordeste,Alagoinhas,290190,Aporá,14.0,12.0,21,15,18.0,11,18.0,24.0,24.0,28.0,24.0
Nordeste,Alagoinhas,290205,Araças,14.0,11.0,10,11,12.0,14,13.0,13.0,16.0,17.0,13.0
Nordeste,Alagoinhas,290220,Aramari,10.0,11.0,12,9,9.0,6,13.0,15.0,18.0,14.0,12.0
Nordeste,Alagoinhas,290700,Cardeal da Silva,14.0,10.0,12,11,9.0,9,12.0,9.0,6.0,9.0,10.0
Nordeste,Alagoinhas,290750,Catu,60.0,66.0,72,59,57.0,69,70.0,65.0,82.0,82.0,55.0
Nordeste,Alagoinhas,290960,Crisópolis,15.0,15.0,14,16,15.0,17,16.0,26.0,19.0,17.0,28.0
Nordeste,Alagoinhas,291050,Entre Rios,37.0,51.0,49,41,42.0,45,48.0,57.0,42.0,45.0,33.0
Nordeste,Alagoinhas,291060,Esplanada,32.0,47.0,37,39,37.0,33,42.0,45.0,36.0,36.0,37.0
Nordeste,Alagoinhas,291370,Inhambupe,32.0,29.0,36,42,39.0,38,21.0,39.0,37.0,51.0,34.0
Nordeste,Alagoinhas,291590,Itanagra,6.0,7.0,6,5,5.0,7,6.0,6.0,5.0,8.0,5.0
Nordeste,Alagoinhas,291650,Itapicuru,13.0,14.0,16,17,18.0,22,31.0,21.0,33.0,36.0,29.0
Nordeste,Alagoinhas,291790,Jandaíra,8.0,4.0,8,7,8.0,12,15.0,15.0,11.0,12.0,12.0
Nordeste,Alagoinhas,292330,Ouriçangas,8.0,7.0,5,12,5.0,9,7.0,13.0,9.0,11.0,14.0
Nordeste,Alagoinhas,292410,Pedrão,8.0,7.0,6,10,7.0,12,7.0,6.0,12.0,7.0,3.0
Nordeste,Alagoinhas,292700,Rio Real,24.0,28.0,47,48,27.0,51,42.0,51.0,47.0,46.0,46.0
Nordeste,Alagoinhas,292970,Sátiro Dias,19.0,20.0,18,8,16.0,17,22.0,26.0,19.0,22.0,13.0
Nordeste,Ribeira do Pombal,290035,Adustina,8.0,10.0,11,15,10.0,8,9.0,13.0,5.0,20.0,7.0
Nordeste,Ribeira do Pombal,290160,Antas,14.0,14.0,11,16,15.0,17,13.0,6.0,17.0,15.0,15.0
Nordeste,Ribeira do Pombal,290265,Banzaê,9.0,12.0,12,18,9.0,5,8.0,9.0,5.0,6.0,9.0
Nordeste,Ribeira do Pombal,290780,Cícero Dantas,27.0,44.0,31,51,33.0,31,39.0,27.0,40.0,33.0,36.0
Nordeste,Ribeira do Pombal,290790,Cipó,19.0,17.0,9,20,19.0,11,8.0,12.0,21.0,22.0,15.0
Nordeste,Ribeira do Pombal,290920,Coronel João Sá,18.0,13.0,21,14,10.0,15,11.0,16.0,14.0,14.0,17.0
Nordeste,Ribeira do Pombal,291075,Fátima,21.0,13.0,21,18,14.0,9,18.0,13.0,9.0,16.0,23.0
Nordeste,Ribeira do Pombal,291185,Heliópolis,6.0,8.0,8,9,5.0,9,3.0,13.0,12.0,9.0,11.0
Nordeste,Ribeira do Pombal,292290,Nova Soure,20.0,14.0,13,19,21.0,17,9.0,21.0,22.0,25.0,12.0
Nordeste,Ribeira do Pombal,292305,Novo Triunfo,11.0,4.0,8,4,5.0,7,5.0,11.0,10.0,3.0,10.0
Nordeste,Ribeira do Pombal,292310,Olindina,19.0,12.0,26,23,22.0,30,29.0,18.0,24.0,24.0,14.0
Nordeste,Ribeira do Pombal,292380,Paripiranga,29.0,31.0,25,28,35.0,26,19.0,18.0,15.0,17.0,13.0
Nordeste,Ribeira do Pombal,292650,Ribeira do Amparo,6.0,7.0,8,9,7.0,11,11.0,11.0,13.0,17.0,13.0
Nordeste,Ribeira do Pombal,292660,Ribeira do Pombal,48.0,48.0,47,42,53.0,59,39.0,39.0,57.0,59.0,52.0
Nordeste,Ribeira do Pombal,293076,Sítio do Quinto,8.0,10.0,10,8,6.0,7,14.0,17.0,7.0,10.0,5.0
Norte,Juazeiro,290590,Campo Alegre de Lourdes,21.0,17.0,25,30,17.0,25,27.0,18.0,23.0,22.0,25.0
Norte,Juazeiro,290682,Canudos,16.0,9.0,11,18,9.0,10,11.0,13.0,9.0,8.0,12.0
Norte,Juazeiro,290720,Casa Nova,33.0,35.0,56,46,58.0,65,52.0,80.0,63.0,48.0,69.0
Norte,Juazeiro,290990,Curaçá,23.0,23.0,32,34,35.0,24,36.0,45.0,37.0,32.0,38.0
Norte,Juazeiro,291840,Juazeiro,177.0,180.0,204,242,262.0,263,240.0,243.0,287.0,307.0,268.0
Norte,Juazeiro,292440,Pilão Arcado,14.0,20.0,27,29,20.0,21,16.0,24.0,31.0,21.0,23.0
