Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2012,2013,2014,2015,2016,2017,2018,2019,2020**,MÉDIA
Oeste,Barreiras,290440,Brejolândia,66.7,0,0.0,100.0,100.0,66.7,0,100.0,0.0,48.15555555555555
Oeste,Ibotirama,290450,Brotas de Macaúbas,100,0-,33.3,100.0,0.0,66.7,0,42.9,100.0,55.3625
Sudoeste,Brumado,290460,Brumado,100,66.7,66.7,100.0,100.0,100,100,100.0,75.0,89.82222222222222
Sul,Itabuna,290470,Buerarema,50,0,0.0,100.0,100.0,66.7,0,0.0,0.0,35.18888888888889
Oeste,Ibotirama,290475,Buritirama,100,100,0.0,66.7,100.0,100,100,50.0,0.0,68.52222222222223
Sudoeste,Itapetinga,290480,Caatiba,-,0,100.0,100.0,0.0,100,100,0.0,0.0,50.0
Leste,Cruz das Almas,290485,Cabaceiras do Paraguaçu,42.9,0,80.0,65.7,0.0,33.3,71.4,50.0,0.0,38.14444444444445
Leste,Cruz das Almas,290490,Cachoeira,50,71.4,80.0,100.0,0.0,0,50,50.0,0.0,44.599999999999994
Sudoeste,Guanambi,290500,Caculé,-,62.1,73.3,50.0,0.0,50,60,50.0,100.0,55.675
Centro Norte,Jacobina,290510,Caém,100,100,100.0,100.0,0.0,0,50,0.0,0.0,50.0
Sudoeste,Vitória da Conquista,290515,Caetanos,100,0,0.0,60.0,100.0,100,0,0.0,50.0,45.55555555555556
Sudoeste,Guanambi,290520,Caetité,80,50,80.0,100.0,0.0,0,66.7,63.6,83.3,58.17777777777778
Centro Norte,Irecê,290530,Cafarnaum,50,0,66.7,100.0,100.0,100,0,66.7,0.0,53.71111111111111
Sul,Valença,290540,Cairu,100,50,100.0,50.0,100.0,100,33.3,16.7,0.0,61.111111111111114
Centro Norte,Jacobina,290550,Caldeirão Grande,-,100,100.0,100.0,100.0,100,0,80.0,0.0,72.5
Sul,Itabuna,290560,Camacan,71.4,55.6,75.0,75.0,0.0,0,100,75.0,100.0,61.333333333333336
Leste,Camaçari,290570,Camaçari,82.6,66.2,66.7,88.6,68.4,77.6,81.8,81.6,76.5,76.66666666666667
Sul,Valença,290580,Camamu,80,60,66.7,100.0,0.0,66.7,80,0.0,100.0,61.48888888888889
Norte,Juazeiro,290590,Campo Alegre de Lourdes,-,0,0.0,100.0,0.0,100,0,50.0,0.0,31.25
Norte,Senhor do Bonfim,290600,Campo Formoso,50,0,64.7,80.0,100.0,100,100,35.7,50.0,64.48888888888888
Oeste,Santa Maria da Vitória,290610,Canápolis,100,0,0.0,100.0,0.0,100,0,0.0,60.0,40.0
Centro Norte,Irecê,290620,Canarana,25,0,83.3,100.0,100.0,75,0,100.0,100.0,64.8111111111111
Sul,Ilhéus,290630,Canavieiras,60,0,50.0,100.0,33.3,62.5,87.5,50.0,100.0,60.36666666666666
Centro Leste,Feira de Santana,290640,Candeal,-,0,0.0,66.7,0.0,100,0,66.7,0.0,29.174999999999997
Leste,Salvador,290650,Candeias,90.5,64.7,81.8,88.9,75.0,60,58.3,50.0,92.9,73.56666666666666
Sudoeste,Guanambi,290660,Candiba,-,0-,0.0,50.0,0.0,50,0,0.0,100.0,28.571428571428573
Sudoeste,Vitória da Conquista,290670,Cândido Sales,25,66.7,100.0,100.0,100.0,75,40,100.0,0.0,67.41111111111111
Centro Leste,Serrinha,290680,Cansanção,100,75,0.0,100.0,100.0,75,100,33.3,0.0,64.8111111111111
Norte,Juazeiro,290682,Canudos,100,0,100.0,0.0,0.0,50,100,0.0,0.0,38.888888888888886
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,-,0,100.0,0.0,100.0,66.7,100,0.0,0.0,45.8375
Centro Norte,Jacobina,290687,Capim Grosso,37.5,62.5,66.7,0.0,100.0,88.9,100,50.0,100.0,67.28888888888889
Sudoeste,Vitória da Conquista,290689,Caraíbas,50,50,0.0,100.0,100.0,100,100,66.7,100.0,74.07777777777778
Extremo Sul,Teixeira de Freitas,290690,Caravelas,100,100,100.0,100.0,100.0,100,100,0.0,0.0,77.77777777777777
Nordeste,Alagoinhas,290700,Cardeal da Silva,-,0,100.0,0.0,0.0,33.3,100,0.0,0.0,29.1625
Sudoeste,Guanambi,290710,Carinhanha,-,50,0.0,0.0,0.0,42.9,0,25.0,100.0,27.2375
Norte,Juazeiro,290720,Casa Nova,80,33.3,28.6,66.7,0.0,20,75,40.0,0.0,38.17777777777778
Leste,Santo Antônio de Jesus,290730,Castro Alves,100,33.3,71.4,66.7,50.0,20,91.7,71.4,100.0,67.16666666666667
Oeste,Barreiras,290740,Catolândia,-,0,0.0,100.0,0.0,0,100,0.0,0.0,25.0
Nordeste,Alagoinhas,290750,Catu,76.5,100,92.3,100.0,50.0,54.5,71.4,86.7,0.0,70.15555555555557
Sudoeste,Brumado,290755,Caturama,-,0,0.0,100.0,0.0,50,0,0.0,0.0,18.75
Centro Norte,Irecê,290760,Central,-,0,40.0,80.0,33.3,50,100,0.0,0.0,37.9125
Norte,Paulo Afonso,290770,Chorrochó,-,0,100.0,0.0,100.0,50,33.3,100.0,0.0,47.9125
Nordeste,Ribeira do Pombal,290780,Cícero Dantas,25,100,100.0,100.0,100.0,100,0,50.0,0.0,63.888888888888886
Nordeste,Ribeira do Pombal,290790,Cipó,100,0,0.0,0.0,100.0,66.7,0,66.7,0.0,37.044444444444444
Sul,Itabuna,290800,Coaraci,33.3,50,100.0,0.0,100.0,100,100,66.7,0.0,61.111111111111114
Oeste,Santa Maria da Vitória,290810,Cocos,100,50,100.0,33.3,0.0,0,50,0.0,0.0,37.03333333333333
Leste,Cruz das Almas,290820,Conceição da Feira,100,100,100.0,100.0,0.0,0,50,100.0,66.7,68.52222222222223
Leste,Santo Antônio de Jesus,290830,Conceição do Almeida,100,100,75.0,0.0,0.0,66.7,33.3,100.0,66.7,60.1888888888889
Centro Leste,Serrinha,290840,Conceição do Coité,75,55.6,63.2,83.3,33.3,62.5,100,0.0,100.0,63.655555555555566
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,75,33.3,83.3,75.0,100.0,50,66.7,50.0,50.0,64.8111111111111
Leste,Camaçari,290860,Conde,100,57.1,66.7,0.0,33.3,58.3,60,27.3,0.0,44.74444444444445
