Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2012,2013,2014,2015,2016,2017,2018,2019,2020**,MÉDIA
Leste,Salvador,291920,Lauro de Freitas,86.3,88.4,73.0,82.9,55.0,78.8,73.7,52.9,47.4,70.93333333333334
Centro Leste,Seabra,291930,Lençóis,100,50,0.0,0.0,100.0,100,50,0.0,100.0,55.55555555555556
Sudoeste,Guanambi,291940,Licínio de Almeida,100,100,66.7,0.0,0.0,0,0,100.0,100.0,51.855555555555554
Sudoeste,Brumado,291950,Livramento de Nossa Senhora,100,75,33.3,66.7,100.0,100,16.7,75.0,100.0,74.07777777777778
Oeste,Barreiras,291955,Luís Eduardo Magalhães,84.6,44.4,100.0,87.5,90.9,100,50,50.0,100.0,78.6
Centro Leste,Itaberaba,291960,Macajuba,100,0,83.3,0.0,0.0,50,0,0.0,100.0,37.03333333333333
Sudoeste,Itapetinga,291970,Macarani,50,100,100.0,0.0,80.0,85.7,75,66.7,50.0,67.48888888888888
Sudoeste,Brumado,291980,Macaúbas,66.7,57.1,33.3,0.0,100.0,77.8,100,60.0,0.0,54.988888888888894
Norte,Paulo Afonso,291990,Macururé,100,0,0.0,0.0,0.0,0,0,25.0,33.3,17.58888888888889
Leste,Salvador,291992,Madre de Deus,100,50,68.4,52.9,75.0,42.9,100,66.7,0.0,61.766666666666666
Sudoeste,Vitória da Conquista,291995,Maetinga,-,0,50.0,100.0,100.0,100,0,100.0,50.0,62.5
Sudoeste,Itapetinga,292000,Maiquinique,100,100,100.0,100.0,0.0,0,100,0.0,0.0,55.55555555555556
Centro Norte,Jacobina,292010,Mairi,100,87.5,60.0,0.0,100.0,100,80,33.3,0.0,62.3111111111111
Sudoeste,Guanambi,292020,Malhada,-,0,100.0,33.3,0.0,100,100,0.0,66.7,50.0
Sudoeste,Brumado,292030,Malhada de Pedras,40,0,0.0,100.0,100.0,100,0,33.3,0.0,41.47777777777778
Sul,Jequié,292040,Manoel Vitorino,83.3,0,0.0,0.0,0.0,100,33.3,75.0,66.7,39.81111111111111
Oeste,Barreiras,292045,Mansidão,-,100,50.0,0.0,0.0,0,0,100.0,0.0,31.25
Sul,Jequié,292050,Maracás,-,100,100.0,50.0,100.0,100,87.5,60.0,33.3,78.85
Leste,Cruz das Almas,292060,Maragogipe,87.5,77.8,71.4,75.0,60.0,71.4,0,100.0,25.0,63.12222222222223
Sul,Itabuna,292070,Maraú,100,100,33.3,100.0,0.0,66.7,33.3,50.0,0.0,53.7
Centro Leste,Itaberaba,292080,Marcionílio Souza,-,100,100.0,100.0,0.0,100,0,100.0,0.0,62.5
Sul,Ilhéus,292090,Mascote,66.7,100,100.0,100.0,0.0,50,100,0.0,0.0,57.41111111111112
Leste,Camaçari,292100,Mata de São João,75,90,71.4,83.3,100.0,83.3,100,87.5,0.0,76.72222222222223
Sudoeste,Guanambi,292105,Matina,-,50,91.3,0.0,0.0,0,0,0.0,0.0,17.6625
Extremo Sul,Teixeira de Freitas,292110,Medeiros Neto,50,0,50.0,0.0,0.0,100,50,0.0,0.0,27.77777777777778
Centro Norte,Jacobina,292120,Miguel Calmon,100,60,78.9,80.0,100.0,100,83.3,100.0,85.7,87.54444444444444
Leste,Santo Antônio de Jesus,292130,Milagres,100,0,0.0,0.0,66.7,100,100,0.0,0.0,40.74444444444444
Centro Norte,Jacobina,292140,Mirangaba,80,0,71.4,0.0,100.0,100,0,100.0,0.0,50.15555555555555
Sudoeste,Vitória da Conquista,292145,Mirante,-,100,100.0,50.0,100.0,100,0,100.0,100.0,81.25
Centro Leste,Serrinha,292150,Monte Santo,100,0,60.0,71.4,75.0,80,100,100.0,0.0,65.15555555555555
Oeste,Ibotirama,292160,Morpará,100,50,0.0,0.0,0.0,0,0,0.0,0.0,16.666666666666668
Centro Norte,Jacobina,292170,Morro do Chapéu,60,50,36.4,66.7,100.0,100,88.9,80.0,100.0,75.77777777777777
Sudoeste,Guanambi,292180,Mortugaba,-,0,0.0,0.0,100.0,66.7,0,75.0,0.0,30.2125
Centro Leste,Seabra,292190,Mucugê,100,100,100.0,66.7,0.0,50,66.7,66.7,66.7,68.53333333333335
Extremo Sul,Teixeira de Freitas,292200,Mucuri,100,0,50.0,100.0,0.0,0,55.6,71.4,0.0,41.888888888888886
Centro Norte,Irecê,292205,Mulungu do Morro,25,0,66.7,75.0,75.0,85.7,100,66.7,0.0,54.9
Centro Leste,Feira de Santana,292210,Mundo Novo,50,100,50.0,50.0,0.0,0,0,0.0,0.0,27.77777777777778
Leste,Santo Antônio de Jesus,292220,Muniz Ferreira,100,100,100.0,0.0,100.0,100,0,100.0,0.0,66.66666666666667
Oeste,Ibotirama,292225,Muquém de São Francisco,-,0,0.0,100.0,0.0,0,25,40.0,0.0,20.625
Leste,Cruz das Almas,292230,Muritiba,100,70.6,100.0,16.7,0.0,50,100,100.0,0.0,59.699999999999996
Leste,Santo Antônio de Jesus,292240,Mutuípe,87.5,71.4,100.0,75.0,50.0,50,0,100.0,0.0,59.32222222222222
Leste,Santo Antônio de Jesus,292250,Nazaré,75,38.5,60.0,100.0,66.7,60,40,0.0,0.0,48.91111111111111
Sul,Valença,292260,Nilo Peçanha,91.7,50,33.3,0.0,66.7,75,25,33.3,50.0,47.22222222222222
Centro Leste,Serrinha,292265,Nordestina,-,100,33.3,100.0,100.0,80,50,100.0,0.0,70.4125
Sudoeste,Itapetinga,292270,Nova Canaã,100,100,0.0,100.0,0.0,100,33.3,100.0,0.0,59.25555555555555
Centro Leste,Feira de Santana,292273,Nova Fátima,100,100,0.0,0.0,0.0,0,0,100.0,0.0,33.333333333333336
Sul,Valença,292275,Nova Ibiá,33.3,94.7,0.0,0.0,0.0,0,0,50.0,0.0,19.77777777777778
Sul,Jequié,292280,Nova Itarana,-,0,37.5,50.0,0.0,0,50,0.0,0.0,17.1875
Centro Leste,Itaberaba,292285,Nova Redenção,100,100,66.7,100.0,0.0,100,100,100.0,0.0,74.07777777777778
Nordeste,Ribeira do Pombal,292290,Nova Soure,66.7,0,66.7,100.0,0.0,50,0,100.0,0.0,42.599999999999994
Extremo Sul,Teixeira de Freitas,292300,Nova Viçosa,80,50,33.3,0.0,0.0,40,50,0.0,0.0,28.144444444444446
Centro Leste,Seabra,292303,Novo Horizonte,-,0,50.0,50.0,0.0,0,100,0.0,0.0,25.0
Nordeste,Ribeira do Pombal,292305,Novo Triunfo,100,0,0.0,0.0,0.0,0,0,0.0,0.0,11.11111111111111
Nordeste,Ribeira do Pombal,292310,Olindina,60,33.3,90.0,100.0,0.0,66.7,0,100.0,0.0,50.0
Oeste,Ibotirama,292320,Oliveira dos Brejinhos,50,0,100.0,100.0,0.0,66.7,0,0.0,0.0,35.18888888888889
Nordeste,Alagoinhas,292330,Ouriçangas,-,0,0.0,0.0,0.0,0,50,0.0,0.0,6.25
Centro Norte,Jacobina,292335,Ourolândia,66.7,33.3,100.0,100.0,66.7,66.7,0,100.0,0.0,59.266666666666666
Sudoeste,Guanambi,292340,Palmas de Monte Alto,-,0,100.0,33.3,0.0,0,0,50.0,0.0,22.9125
Centro Leste,Seabra,292350,Palmeiras,100,0,0.0,100.0,0.0,0,0,0.0,0.0,22.22222222222222
Sudoeste,Brumado,292360,Paramirim,100,100,61.5,100.0,33.3,62.5,66.7,0.0,100.0,69.33333333333333
Oeste,Ibotirama,292370,Paratinga,50,0,50.0,33.3,50.0,100,100,0.0,100.0,53.7
Nordeste,Ribeira do Pombal,292380,Paripiranga,100,100,0.0,100.0,0.0,0,0,0.0,100.0,44.44444444444444
Sul,Itabuna,292390,Pau Brasil,100,100,71.4,100.0,0.0,66.7,0,100.0,100.0,70.89999999999999
Norte,Paulo Afonso,292400,Paulo Afonso,82.6,100,100.0,86.7,0.0,60,88.9,50.0,100.0,74.24444444444445
Centro Leste,Feira de Santana,292405,Pé de Serra,100,50,83.3,100.0,0.0,100,0,50.0,0.0,53.7
Nordeste,Alagoinhas,292410,Pedrão,-,0,0.0,0.0,0.0,0,0,100.0,0.0,12.5
Norte,Paulo Afonso,292420,Pedro Alexandre,-,0,0.0,0.0,0.0,0,0,100.0,0.0,12.5
Centro Leste,Seabra,292430,Piatã,100,50,100.0,75.0,0.0,75,100,0.0,0.0,55.55555555555556
Norte,Juazeiro,292440,Pilão Arcado,100,0,0.0,100.0,0.0,0,0,100.0,0.0,33.333333333333336
Sudoeste,Guanambi,292450,Pindaí,-,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Norte,Senhor do Bonfim,292460,Pindobaçu,-,0,20.0,16.7,0.0,100,0,66.7,0.0,25.424999999999997
Centro Leste,Feira de Santana,292465,Pintadas,33.3,0,50.0,75.0,0.0,0,0,50.0,100.0,34.25555555555556
Sul,Valença,292467,Piraí do Norte,-,100,100.0,0.0,0.0,0,0,0.0,0.0,25.0
Sudoeste,Vitória da Conquista,292470,Piripá,-,0,100.0,75.0,50.0,42.9,50,0.0,0.0,39.7375
Centro Norte,Jacobina,292480,Piritiba,100,100,0.0,0.0,100.0,100,100,50.0,100.0,72.22222222222223
Sul,Jequié,292490,Planaltino,100,0,100.0,0.0,100.0,50,0,100.0,33.3,53.7
Sudoeste,Vitória da Conquista,292500,Planalto,100,25,71.4,100.0,100.0,100,75,0.0,0.0,63.48888888888889
Sudoeste,Vitória da Conquista,292510,Poções,63.6,80,84.6,100.0,85.7,93.3,100,57.1,0.0,73.81111111111112
Leste,Camaçari,292520,Pojuca,80,92.3,77.8,66.7,33.3,42.9,100,70.0,100.0,73.66666666666667
Norte,Senhor do Bonfim,292525,Ponto Novo,50,0,50.0,0.0,0.0,0,0,66.7,0.0,18.522222222222222
Extremo Sul,Porto Seguro,292530,Porto Seguro,94.8,97.1,90.9,90.0,78.6,57.7,80.6,92.1,72.0,83.75555555555555
Sudoeste,Itapetinga,292540,Potiraguá,-,100,100.0,33.3,0.0,0,100,0.0,0.0,41.6625
Extremo Sul,Teixeira de Freitas,292550,Prado,33.3,50,0.0,33.3,0.0,50,50,100.0,100.0,46.28888888888889
Centro Norte,Irecê,292560,Presidente Dutra,100,0,50.0,100.0,100.0,85.7,100,0.0,50.0,65.07777777777778
Sudoeste,Vitória da Conquista,292570,Presidente Jânio Quadros,100,0,0.0,100.0,0.0,100,100,100.0,0.0,55.55555555555556
Leste,Santo Antônio de Jesus,292575,Presidente Tancredo Neves,33.3,75,84.6,75.0,75.0,72.7,40,80.6,50.0,65.13333333333333
Centro Leste,Serrinha,292580,Queimadas,50,0,100.0,0.0,100.0,66.7,100,100.0,0.0,57.41111111111112
Centro Leste,Serrinha,292590,Quijingue,75,50,60.0,60.0,100.0,50,80,28.6,0.0,55.955555555555556
Centro Norte,Jacobina,292593,Quixabeira,-,0,81.8,100.0,0.0,50,100,0.0,0.0,41.475
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,20,75,90.9,100.0,0.0,0,0,0.0,100.0,42.87777777777777
Norte,Juazeiro,292600,Remanso,66.7,100,36.4,83.3,0.0,75,100,0.0,0.0,51.266666666666666
Centro Leste,Serrinha,292610,Retirolândia,100,0,0.0,0.0,100.0,66.7,0,100.0,0.0,40.74444444444444
Oeste,Barreiras,292620,Riachão das Neves,66.7,100,33.3,100.0,100.0,100,0,100.0,0.0,66.66666666666667
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,100,100,62.5,50.0,25.0,20,33.3,45.5,0.0,48.47777777777778
Sudoeste,Guanambi,292640,Riacho de Santana,100,60,50.0,66.7,100.0,100,66.7,100.0,100.0,82.6
Nordeste,Ribeira do Pombal,292650,Ribeira do Amparo,-,0,100.0,100.0,0.0,0,0,100.0,0.0,37.5
Nordeste,Ribeira do Pombal,292660,Ribeira do Pombal,85.7,87,44.4,100.0,0.0,100,91.7,86.2,71.4,74.04444444444444
Sudoeste,Vitória da Conquista,292665,Ribeirão do Largo,-,0,100.0,100.0,0.0,0,0,100.0,100.0,50.0
Sudoeste,Brumado,292670,Rio de Contas,-,0,0.0,0.0,100.0,100,0,100.0,100.0,50.0
Sudoeste,Guanambi,292680,Rio do Antônio,-,100,66.7,100.0,0.0,0,100,0.0,0.0,45.8375
Sudoeste,Brumado,292690,Rio do Pires,100,0,100.0,0.0,100.0,100,0,0.0,0.0,44.44444444444444
Nordeste,Alagoinhas,292700,Rio Real,50,100,71.4,50.0,100.0,66.7,66.7,75.0,0.0,64.42222222222222
Norte,Paulo Afonso,292710,Rodelas,-,100,50.0,0.0,0.0,100,0,0.0,0.0,31.25
Centro Leste,Itaberaba,292720,Ruy Barbosa,100,75,100.0,0.0,100.0,77.8,50,75.0,100.0,75.3111111111111
Leste,Santo Antônio de Jesus,292730,Salinas da Margarida,-,0,100.0,0.0,0.0,0,50,50.0,0.0,25.0
Leste,Salvador,292740,Salvador,80.9,82,75.0,75.9,70.1,73.3,73.4,68.1,69.8,74.27777777777777
Centro Leste,Feira de Santana,292750,Santa Bárbara,-,100,100.0,66.7,0.0,0,50,0.0,100.0,52.0875
Norte,Paulo Afonso,292760,Santa Brígida,-,0,100.0,0.0,0.0,0,50,100.0,0.0,31.25
Extremo Sul,Porto Seguro,292770,Santa Cruz Cabrália,-,25,52.4,66.7,0.0,0,42.9,42.9,0.0,28.737500000000004
Sul,Itabuna,292780,Santa Cruz da Vitória,-,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Sul,Jequié,292790,Santa Inês,-,50,0.0,0.0,0.0,0,0,0.0,0.0,6.25
Sul,Ilhéus,292805,Santa Luzia,50,0,100.0,0.0,0.0,100,100,0.0,0.0,38.888888888888886
Oeste,Santa Maria da Vitória,292810,Santa Maria da Vitória,80,100,25.0,100.0,100.0,100,50,0.0,0.0,61.666666666666664
Oeste,Barreiras,292840,Santa Rita de Cássia,28.6,16.7,66.7,100.0,0.0,0,50,100.0,0.0,40.22222222222222
Leste,Santo Antônio de Jesus,292850,Santa Teresinha,33.3,0,87.5,100.0,0.0,0,0,100.0,0.0,35.644444444444446
Centro Leste,Serrinha,292800,Santaluz,100,75,50.0,25.0,0.0,60,0,0.0,0.0,34.44444444444444
Oeste,Santa Maria da Vitória,292820,Santana,100,0,50.0,0.0,0.0,100,0,0.0,100.0,38.888888888888886
Centro Leste,Feira de Santana,292830,Santanópolis,100,0,0.0,60.0,0.0,0,0,100.0,0.0,28.88888888888889
Leste,Salvador,292860,Santo Amaro,57.1,92.3,77.8,100.0,83.3,80,100,18.4,100.0,78.76666666666667
Leste,Santo Antônio de Jesus,292870,Santo Antônio de Jesus,75.6,88.6,81.5,73.3,57.1,76.9,84.6,92.3,75.0,78.32222222222222
Centro Leste,Feira de Santana,292880,Santo Estêvão,55.6,66.7,80.0,66.7,100.0,80,0,40.0,25.0,57.111111111111114
Oeste,Barreiras,292890,São Desidério,66.7,62.5,100.0,0.0,100.0,100,0,0.0,100.0,58.800000000000004
Centro Leste,Serrinha,292895,São Domingos,100,0,100.0,0.0,0.0,0,0,0.0,0.0,22.22222222222222
Leste,Santo Antônio de Jesus,292910,São Felipe,100,66.7,100.0,0.0,0.0,0,33.3,100.0,50.0,50.0
Leste,Cruz das Almas,292900,São Félix,100,42.9,100.0,66.7,50.0,100,100,0.0,0.0,62.17777777777778
Oeste,Santa Maria da Vitória,292905,São Félix do Coribe,-,100,0.0,0.0,50.0,33.3,0,0.0,0.0,22.9125
Leste,Salvador,292920,São Francisco do Conde,83.3,91.7,66.7,63.6,50.0,45.5,50,50.0,66.7,63.05555555555556
Centro Norte,Irecê,292925,São Gabriel,71.4,66.7,60.0,75.0,100.0,100,66.7,100.0,100.0,82.2
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,100,76.9,100.0,80.0,100.0,33.3,66.7,57.1,50.0,73.3875
Sul,Itabuna,292935,São José da Vitória,100,100,0.0,0.0,0.0,0,0,0.0,0.0,22.22222222222222
Centro Norte,Jacobina,292937,São José do Jacuípe,-,0,66.7,0.0,0.0,0,0,0.0,0.0,8.3375
Leste,Santo Antônio de Jesus,292940,São Miguel das Matas,50,0,0.0,100.0,0.0,100,100,0.0,0.0,38.888888888888886
Leste,Salvador,292950,São Sebastião do Passé,71.4,18.2,81.8,100.0,66.7,60,50,37.5,100.0,65.06666666666666
Leste,Cruz das Almas,292960,Sapeaçu,-,100,100.0,50.0,66.7,75,66.7,0.0,0.0,57.3
Nordeste,Alagoinhas,292970,Sátiro Dias,100,100,0.0,0.0,0.0,0,0,0.0,0.0,22.22222222222222
Leste,Salvador,292975,Saubara,100,100,0.0,50.0,0.0,0,0,0.0,0.0,27.77777777777778
Centro Norte,Jacobina,292980,Saúde,66.7,0,0.0,0.0,0.0,0,0,0.0,0.0,7.411111111111111
Centro Leste,Seabra,292990,Seabra,20,33.3,57.1,33.3,0.0,30,100,36.4,25.0,37.23333333333333
Sudoeste,Guanambi,293000,Sebastião Laranjeiras,-,50,100.0,100.0,0.0,0,66.7,0.0,0.0,39.5875
Norte,Senhor do Bonfim,293010,Senhor do Bonfim,66.7,75,71.4,75.0,100.0,100,0,50.0,100.0,70.9
Norte,Juazeiro,293020,Sento Sé,100,0,80.0,0.0,100.0,100,0,0.0,0.0,42.22222222222222
Oeste,Santa Maria da Vitória,293015,Serra do Ramalho,55.6,0,25.0,100.0,0.0,20,83.3,0.0,0.0,31.54444444444444
Oeste,Santa Maria da Vitória,293030,Serra Dourada,-,0,100.0,0.0,100.0,50,66.7,0.0,100.0,52.0875
Centro Leste,Feira de Santana,293040,Serra Preta,66.7,100,0.0,0.0,0.0,100,0,0.0,0.0,29.633333333333333
Centro Leste,Serrinha,293050,Serrinha,81.2,81.2,67.6,73.7,100.0,50,57.1,72.7,33.3,68.53333333333333
Centro Norte,Jacobina,293060,Serrolândia,50,66.7,60.0,100.0,0.0,0,0,80.0,100.0,50.74444444444444
Leste,Camaçari,293070,Simões Filho,73.1,84.1,79.0,62.5,65.0,58.8,76.9,72.1,44.4,68.43333333333334
Oeste,Santa Maria da Vitória,293075,Sítio do Mato,66.7,100,50.0,0.0,100.0,100,0,0.0,100.0,57.41111111111112
Nordeste,Ribeira do Pombal,293076,Sítio do Quinto,50,0,0.0,0.0,0.0,0,0,0.0,0.0,5.555555555555555
Norte,Juazeiro,293077,Sobradinho,-,100,54.5,100.0,0.0,0,50,0.0,50.0,44.3125
Centro Leste,Seabra,293080,Souto Soares,-,100,22.2,87.5,0.0,75,75,50.0,0.0,51.2125
Oeste,Barreiras,293090,Tabocas do Brejo Velho,-,0-,100.0,100.0,0.0,0,0,0.0,0.0,28.571428571428573
Sudoeste,Brumado,293100,Tanhaçu,100,100,100.0,0.0,100.0,88.9,50,50.0,100.0,76.54444444444444
Sudoeste,Guanambi,293105,Tanque Novo,-,60,33.3,50.0,100.0,66.7,100,0.0,0.0,51.25
Centro Leste,Feira de Santana,293110,Tanquinho,83.3,100,0.0,100.0,0.0,100,100,66.7,0.0,61.111111111111114
Sul,Valença,293120,Taperoá,88.9,75,25.0,0.0,0.0,75,75,78.6,50.0,51.94444444444444
Centro Norte,Jacobina,293130,Tapiramutá,50,33.3,100.0,100.0,100.0,100,0,0.0,0.0,53.7
Extremo Sul,Teixeira de Freitas,293135,Teixeira de Freitas,63,65,66.7,90.0,100.0,92.3,84.6,92.3,100.0,83.76666666666667
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,50,100,83.3,0.0,100.0,100,0,0.0,50.0,53.7
Centro Leste,Serrinha,293150,Teofilândia,-,100,100.0,0.0,0.0,28.6,100,0.0,0.0,41.075
Sul,Valença,293160,Teolândia,50,0,100.0,50.0,0.0,50,60,100.0,100.0,56.666666666666664
Centro Leste,Feira de Santana,293170,Terra Nova,100,100,25.0,66.7,0.0,0,0,0.0,0.0,32.41111111111111
Sudoeste,Vitória da Conquista,293180,Tremedal,100,100,42.9,100.0,66.7,75,33.3,50.0,0.0,63.099999999999994
Centro Leste,Serrinha,293190,Tucano,85.7,100,95.2,100.0,75.0,71.4,100,66.7,100.0,88.22222222222223
Norte,Juazeiro,293200,Uauá,100,83.3,100.0,0.0,0.0,0,0,0.0,0.0,31.477777777777778
Leste,Santo Antônio de Jesus,293210,Ubaíra,11.1,100,0.0,0.0,100.0,25,100,0.0,0.0,37.34444444444445
Sul,Itabuna,293220,Ubaitaba,-,0,0.0,25.0,100.0,100,50,66.7,0.0,42.7125
Sul,Itabuna,293230,Ubatã,100,66.7,66.7,100.0,100.0,66.7,100,0.0,0.0,66.67777777777776
Centro Norte,Irecê,293240,Uibaí,80,66.7,100.0,100.0,100.0,75,0,0.0,100.0,69.07777777777778
Centro Norte,Jacobina,293245,Umburanas,-,100,0.0,100.0,0.0,100,0,80.0,0.0,47.5
Sul,Ilhéus,293250,Una,50,60,66.7,90.0,0.0,0,100,50.0,50.0,51.855555555555554
Sudoeste,Guanambi,293260,Urandi,-,0,0.0,0.0,0.0,0,0,0.0,100.0,12.5
Sul,Ilhéus,293270,Uruçuca,100,100,83.3,75.0,100.0,100,100,66.7,0.0,80.55555555555556
Centro Leste,Itaberaba,293280,Utinga,-,0,0.0,100.0,100.0,66.7,66.7,66.7,100.0,62.512499999999996
Sul,Valença,293290,Valença,72.7,92.5,78.1,60.0,46.2,56.5,60.9,67.6,40.0,63.83333333333332
Centro Leste,Serrinha,293300,Valente,86.7,60,75.0,75.0,100.0,100,0,50.0,50.0,66.30000000000001
Centro Norte,Jacobina,293305,Várzea da Roça,100,0,0.0,60.0,0.0,0,100,60.0,0.0,35.55555555555556
Centro Norte,Jacobina,293310,Várzea do Poço,100,100,0.0,100.0,0.0,0,0,0.0,0.0,33.333333333333336
Centro Norte,Jacobina,293315,Várzea Nova,50,66.7,33.3,50.0,0.0,100,50,66.7,0.0,46.3
Leste,Santo Antônio de Jesus,293317,Varzedo,100,0,0.0,100.0,0.0,100,0,0.0,0.0,33.333333333333336
Leste,Salvador,293320,Vera Cruz,85.7,50,55.6,0.0,100.0,80,66.7,25.0,50.0,57.0
Extremo Sul,Teixeira de Freitas,293325,Vereda,-,100,0.0,0.0,0.0,0,0,0.0,0.0,12.5
Sudoeste,Vitória da Conquista,293330,Vitória da Conquista,67.4,91,85.9,95.0,99.0,98.6,99.1,96.3,91.7,91.55555555555556
Centro Leste,Itaberaba,293340,Wagner,100,0,100.0,0.0,0.0,0,100,0.0,0.0,33.333333333333336
Oeste,Barreiras,293345,Wanderley,100,100,0.0,100.0,0.0,0,100,0.0,0.0,44.44444444444444
Sul,Valença,293350,Wenceslau Guimarães,33.3,71.4,100.0,83.3,66.7,83.3,100,90.9,25.0,72.65555555555555
Centro Norte,Irecê,293360,Xique-Xique,-,14.3,40.0,85.7,100.0,100,50,0.0,100.0,61.25
