Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,1º VIG 2015 %,2º VIG 2015 %,1º VIG 2016 %,2º VIG 2016 %,1º VIG 2017 %,2º VIG 2017 %,1º VIG 2018 %,2º VIG 2018 %,1º VIG 2019 %,2º VIG 2019 %,1º VIG 2020 %,2º VIG 2020 %
Sul,Itabuna,291100,Floresta Azul,81.74,82.02,77.2,78.18,97.63,80.08," 82,54",68.01,"85,06","85,54",34.540000000000006,47.88
Oeste,Barreiras,291110,Formosa do Rio Preto,76.06,59.18,67.85,37.73,81.92,74.22," 81,54",82.54,"76,46","83,85",26.07,21.64
Sul,Valença,291120,Gandu,68.31,85.01,74.35,69.8,85.76,80.76," 85,83",74.9,"74,66","82,46",27.05,69.11
Centro Leste,Feira de Santana,291125,Gavião,91.66,93.46,92.75,93.42,91.01,89.81," 90,48",89.33,"88,05","90,68",69.13,45.61
Centro Norte,Irecê,291130,Gentio do Ouro,96.6,98.03,96.26,96.81,94.21,94.37," 96,30",91.62,"90,04","94,67",74.34,95.17
Norte,Paulo Afonso,291140,Glória,85.12,84.97,85.18,87.91,85.21,86.72," 86,46",88.52,"92,15","87,93",37.980000000000004,50.129999999999995
Sul,Itabuna,291150,Gongogi,87.96,87.97,83.19,80.52,79.58,83.9," 81,80",85.42,"83,07","86,91",36.27,33.050000000000004
Leste,Cruz das Almas,291160,Governador Mangabeira,83.06,92.89,89.3,74.22,88.75,96.14," 96,81",85.59,"81,49","96,11",42.87,48.480000000000004
Sudoeste,Brumado,291165,Guajeru,90.79,93.1,90.13,88.37,93.61,93.2," 86,21",94.4,"93,39","94,45",51.63,94.03
Sudoeste,Guanambi,291170,Guanambi,71.16,66.98,62.07,49.2,48.56,44.8," 44,50",64.2,"63,24","69,26",35.760000000000005,42.699999999999996
Extremo Sul,Porto Seguro,291180,Guaratinga,81.84,82.23,81.99,78.74,79.3,80.3," 84,11",80.04,"83,75","84,15",30.460000000000004,42.33
Nordeste,Ribeira do Pombal,291185,Heliópolis,79.64,85.0,75.56,75.74,81.14,84.72," 85,30",86.12,"86,98","89,35",55.75,43.519999999999996
Centro Leste,Itaberaba,291190,Iaçu,74.54,80.87,78.33,67.72,75.96,85.12," 90,04",89.31,"88,26","93,32",59.89,38.01
Sudoeste,Guanambi,291200,Ibiassucê,95.05,94.95,93.58,84.97,91.61,96.51," 97,70",96.5,"88,95","97,04",63.06,87.37
Sul,Itabuna,291210,Ibicaraí,71.2,70.18,60.47,61.63,78.59,78.15," 73,01",43.8,"98,31","95,04",79.31,58.06
Sudoeste,Brumado,291220,Ibicoara,78.43,88.67,88.65,83.66,77.47,74.96," 78,50",79.5,"85,19","80,71",59.34,61.63999999999999
Sudoeste,Itapetinga,291230,Ibicuí,52.55,47.4,56.64,59.48,72.34,75.04," 68,08",68.87,"81,69","87,27",33.940000000000005,41.38
Centro Norte,Irecê,291240,Ibipeba,92.27,91.67,91.65,89.9,90.92,92.38," 89,98",92.35,"93,05","90,59",37.160000000000004,40.1
Sudoeste,Brumado,291250,Ibipitanga,73.92,93.5,88.36,87.37,90.88,74.43," 88,82",87.31,"89,05","91,01",91.01,83.36
Centro Leste,Itaberaba,291260,Ibiquera,77.38,73.99,76.51,92.6,91.81,91.6," 93,11",95.77,"93,29","93,04",35.0,94.19999999999999
Sul,Itabuna,291270,Ibirapitanga,63.21,73.09,72.41,64.18,70.61,77.57," 76,48",83.79,"77,28","84,54",23.25,24.15
Extremo Sul,Teixeira de Freitas,291280,Ibirapuã,95.8,96.3,95.86,95.52,96.09,96.0," 95,62",95.67,"96,43","95,71",35.660000000000004,40.28
Sul,Jequié,291290,Ibirataia,98.62,90.84,95.99,99.4,98.49,61.01," 45,66",70.34,"41,73","68,16",24.77,40.37
Centro Leste,Seabra,291300,Ibitiara,84.28,84.74,80.35,86.51,86.91,89.89," 87,68",92.21,"90,77","95,56",83.04,76.51
