Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,1º VIG 2015 %,2º VIG 2015 %,1º VIG 2016 %,2º VIG 2016 %,1º VIG 2017 %,2º VIG 2017 %,1º VIG 2018 %,2º VIG 2018 %,1º VIG 2019 %,2º VIG 2019 %,1º VIG 2020 %,2º VIG 2020 %
Oeste,Ibotirama,292225,Muquém de São Francisco,80.77,92.22,94.57,84.62,95.73,91.41," 79,25 ",91.39,"85,22","84,32",38.76,38.66
Leste,Cruz das Almas,292230,Muritiba,82.67,64.29,44.74,100.0,100.0,96.56," 97,18 ",87.15,"95,68","97,48",22.83,28.32
Leste,Santo Antônio de Jesus,292240,Mutuípe,80.95,90.04,85.54,84.18,86.13,85.45," 85,56 ",92.21,"92,41","93,90",34.900000000000006,49.62
Leste,Santo Antônio de Jesus,292250,Nazaré,92.89,93.96,91.54,93.22,91.81,71.49," 53,06 ",66.83,"82,89","95,13",27.540000000000003,31.209999999999997
Sul,Valença,292260,Nilo Peçanha,76.84,80.87,74.32,72.21,82.86,81.78," 75,25 ",85.46,"80,89","83,92",64.04,81.32000000000001
Centro Leste,Serrinha,292265,Nordestina,100.0,99.88,90.63,97.23,97.09,99.94," 96,42 ",94.8,"95,73","100,00",85.1,92.67999999999999
Sudoeste,Itapetinga,292270,Nova Canaã,71.47,72.59,73.71,63.82,81.39,78.77," 82,36 ",78.65,"74,23","74,36",35.24,51.42
Centro Leste,Feira de Santana,292273,Nova Fátima,91.6,86.15,91.96,85.81,85.0,83.29," 80,98 ",83.14,"77,89","73,84",66.33,40.73
Sul,Valença,292275,Nova Ibiá,93.07,78.32,77.59,89.88,97.32,95.14," 89,94 ",85.18,"84,82","87,09",58.53,78.01
Sul,Jequié,292280,Nova Itarana,95.31,91.36,89.73,91.31,81.62,78.26," 82,35 ",83.27,"88,37","89,93",46.95,86.42999999999999
Centro Leste,Itaberaba,292285,Nova Redenção,81.39,85.25,56.2,78.3,89.7,89.22," 83,52 ",83.44,"84,47","81,89",33.15,58.95
Nordeste,Ribeira do Pombal,292290,Nova Soure,77.2,74.79,73.39,77.14,85.75,87.04," 84,28 ",88.08,"84,92","89,14",78.69,37.62
Extremo Sul,Teixeira de Freitas,292300,Nova Viçosa,81.59,82.56,82.88,83.13,87.43,76.81," 60,17 ",64.02,"68,95","84,78",35.0,25.130000000000003
Centro Leste,Seabra,292303,Novo Horizonte,89.19,87.85,87.28,77.47,87.24,86.18," 98,85 ",93.4,"98,36","97,70",93.23,95.58
Nordeste,Ribeira do Pombal,292305,Novo Triunfo,86.97,87.36,89.29,89.86,85.6,91.08," 89,65 ",85.43,"76,50","93,19",55.24,52.35999999999999
Nordeste,Ribeira do Pombal,292310,Olindina,79.16,78.72,73.82,73.38,76.37,75.96," 79,72 ",84.03,"79,24","87,23",28.42,25.419999999999998
Oeste,Ibotirama,292320,Oliveira dos Brejinhos,91.87,95.14,91.06,89.67,88.46,88.69," 85,51 ",92.24,"89,89","84,20",84.33,78.78
Nordeste,Alagoinhas,292330,Ouriçangas,91.03,92.51,92.98,91.23,85.46,89.63," 89,08 ",93.74,"92,80","94,75",44.11000000000001,48.949999999999996
Centro Norte,Jacobina,292335,Ourolândia,87.7,90.12,89.11,83.2,85.87,80.53," 83,87 ",88.91,"87,16","86,75",28.390000000000004,25.369999999999997
Sudoeste,Guanambi,292340,Palmas de Monte Alto,91.36,92.18,91.66,88.12,86.23,90.04," 86,43 ",85.57,"84,34","85,14",52.04,79.43
Centro Leste,Seabra,292350,Palmeiras,92.0,90.87,95.4,94.17,94.24,93.83," 93,62 ",94.97,"92,84","90,52",82.05,89.87
Sudoeste,Brumado,292360,Paramirim,87.08,76.5,73.75,87.62,83.12,87.26," 87,09 ",87.52,"85,11","82,53",67.96,76.01
Oeste,Ibotirama,292370,Paratinga,56.34,64.39,55.5,57.12,59.33,72.88," 65,16 ",74.05,"77,89","86,21",17.39,40.21
Nordeste,Ribeira do Pombal,292380,Paripiranga,89.69,93.95,93.73,93.71,93.47,94.07," 92,81 ",91.89,"89,73","91,97",34.63,28.970000000000002
Sul,Itabuna,292390,Pau Brasil,74.26,78.39,74.18,75.49,83.35,87.44," 85,23 ",83.67,"80,08","86,41",28.35,35.44
Norte,Paulo Afonso,292400,Paulo Afonso,88.2,87.26,87.89,88.99,87.69,89.71," 87,87 ",89.85,"88,52","88,64",26.36,28.249999999999996
Centro Leste,Feira de Santana,292405,Pé de Serra,89.9,91.67,90.03,85.14,90.02,90.28," 83,67 ",86.8,"89,28","90,01",86.34,91.57
Nordeste,Alagoinhas,292410,Pedrão,93.38,94.03,82.4,91.76,80.44,90.51," 90,88 ",91.47,"91,47","87,15",28.31,50.61
Norte,Paulo Afonso,292420,Pedro Alexandre,84.32,81.74,85.07,82.94,83.17,81.94," 83,62 ",70.9,"84,73","77,93",81.05,24.169999999999998
Centro Leste,Seabra,292430,Piatã,93.39,90.44,91.6,94.01,93.05,92.34," 93,90",98.25,"92,54","92,21",28.82,26.1
Norte,Juazeiro,292440,Pilão Arcado,59.59,71.15,56.94,50.35,65.04,65.78," 62,03 ",70.72,"63,66","69,34",19.82,51.690000000000005
Sudoeste,Guanambi,292450,Pindaí,84.66,85.01,78.96,81.14,80.19,80.7," 79,66 ",89.32,"87,24","88,56",40.290000000000006,44.05
Norte,Senhor do Bonfim,292460,Pindobaçu,95.28,100.0,96.37,83.17,93.54,97.18," 90,69 ",89.94,"90,25","93,28",49.56,43.32
Centro Leste,Feira de Santana,292465,Pintadas,80.57,85.02,85.23,84.88,85.65,87.48," 87,43 ",91.46,"90,83","92,17",44.830000000000005,35.5
Sul,Valença,292467,Piraí do Norte,81.93,84.94,84.36,90.98,91.18,91.88," 87,21 ",88.52,"77,04","69,16",9.51,18.95
Sudoeste,Vitória da Conquista,292470,Piripá,84.56,87.12,83.71,78.93,81.16,88.43," 84,82 ",82.38,"84,01","90,43",55.03,54.74
Centro Norte,Jacobina,292480,Piritiba,87.46,84.76,85.03,85.65,82.32,84.43," 80,42 ",69.03,"81,76","85,05",18.41,23.29
Sul,Jequié,292490,Planaltino,100.0,100.0,100.0,87.38,92.42,100.0," 89,11 ",88.98,"90,27","86,56",46.01,62.27
Sudoeste,Vitória da Conquista,292500,Planalto,73.67,75.03,77.42,68.64,75.42,74.99," 81,66 ",72.42,"76,03","79,51",33.910000000000004,41.85
Sudoeste,Vitória da Conquista,292510,Poções,82.44,84.92,81.14,82.22,78.62,83.0," 85,02 ",87.05,"87,84","87,83",34.650000000000006,71.12
Leste,Camaçari,292520,Pojuca,71.66,87.34,89.33,85.59,71.36,64.29," 65,14 ",81.84,"80,01","84,62",32.080000000000005,38.87
Norte,Senhor do Bonfim,292525,Ponto Novo,84.81,86.38,85.73,79.91,83.35,92.31," 86,36 ",86.9,"86,78","92,19",44.1,41.69
Extremo Sul,Porto Seguro,292530,Porto Seguro,57.99,58.87,48.27,67.45,65.07,72.47," 60,17 ",59.26,"62,36","64,55",23.6,32.48
Sudoeste,Itapetinga,292540,Potiraguá,99.91,100.0,100.0,59.11,65.69,74.23," 63,78 ",92.84,"79,70","84,45",19.8,22.46
Extremo Sul,Teixeira de Freitas,292550,Prado,54.37,22.42,62.14,61.4,78.92,35.88," 77,71",54.49,"78,61","78,99",71.92,58.989999999999995
Centro Norte,Irecê,292560,Presidente Dutra,89.31,89.31,84.94,85.87,89.81,86.21," 86,89",89.22,"87,58","88,47",47.57,47.28
Sudoeste,Vitória da Conquista,292570,Presidente Jânio Quadros,99.87,100.0,99.36,98.92,88.91,89.55," 91,78",93.33,"93,56","95,95",93.48,90.74
Leste,Santo Antônio de Jesus,292575,Presidente Tancredo Neves,92.67,91.68,79.1,77.11,81.76,83.64," 85,19",83.19,"82,87","85,97",82.84,82.8
Centro Leste,Serrinha,292580,Queimadas,96.27,88.92,85.47,84.11,82.92,77.74," 75,48",74.61,"78,41","81,92",32.68000000000001,20.93
Centro Leste,Serrinha,292590,Quijingue,99.62,99.69,88.39,76.18,84.11,89.18," 91,44",89.7,"92,09","94,75",44.24,77.95
Centro Norte,Jacobina,292593,Quixabeira,87.19,86.93,83.17,81.2,85.59,86.61," 87,39",85.08,"87,67","87,98",81.84,77.72
Centro Leste,Feira de Santana,292595,Rafael Jambeiro,83.82,85.78,89.52,85.29,86.57,84.87," 84,69",83.39,"78,60","84,09",74.74000000000001,78.63
Norte,Juazeiro,292600,Remanso,89.17,86.74,85.91,88.17,87.8,89.35," 86,02",82.81,"89,82","81,50",43.61000000000001,24.740000000000002
Centro Leste,Serrinha,292610,Retirolândia,85.98,84.07,81.75,82.17,90.82,80.21," 94,27",91.77,"91,86","94,42",32.940000000000005,39.54
Oeste,Barreiras,292620,Riachão das Neves,97.54,96.92,98.37,60.05,74.97,68.37," 75,87",76.25,"83,22","79,82",32.46,23.9
Centro Leste,Feira de Santana,292630,Riachão do Jacuípe,86.8,88.55,77.71,70.47,82.01,84.15," 76,27",77.25,"74,60","80,02",60.34,31.64
Sudoeste,Guanambi,292640,Riacho de Santana,88.55,97.23,100.0,92.91,95.82,80.72," 84,78",81.41,"75,99","86,07",29.75,33.93
Nordeste,Ribeira do Pombal,292650,Ribeira do Amparo,90.24,91.61,89.0,89.59,91.21,90.89," 91,62",90.95,"92,11","93,40",70.14,73.22
Nordeste,Ribeira do Pombal,292660,Ribeira do Pombal,85.77,84.56,75.06,82.72,82.93,84.46," 82,54",87.42,"88,96","89,91",30.09,32.61
Sudoeste,Vitória da Conquista,292665,Ribeirão do Largo,75.22,86.46,88.39,95.0,89.91,94.14," 88,52",84.64,"94,17","97,60",92.18,95.12
Sudoeste,Brumado,292670,Rio de Contas,93.47,93.47,91.64,100.0,92.41,92.78," 92,28",95.64,"91,38","95,84",72.32000000000001,91.99000000000001
Sudoeste,Guanambi,292680,Rio do Antônio,89.19,94.88,58.65,38.65,64.34,92.27," 89,45",81.11,"85,90","88,89",81.25,74.53
Sudoeste,Brumado,292690,Rio do Pires,89.65,94.91,91.69,92.68,92.78,92.67," 88,17",92.86,"90,71","90,67",79.47000000000001,88.92
Nordeste,Alagoinhas,292700,Rio Real,84.53,88.73,86.56,88.42,87.45,86.58," 88,61",72.6,"84,02","80,40",31.94,38.65
Norte,Paulo Afonso,292710,Rodelas,98.74,92.91,83.12,91.84,80.83,86.29," 87,68",88.91,"87,93","88,31",20.5,21.63
Centro Leste,Itaberaba,292720,Ruy Barbosa,82.73,84.29,83.82,83.99,85.68,86.6," 87,06",86.96,"84,89","86,19",31.14,38.35
Leste,Santo Antônio de Jesus,292730,Salinas da Margarida,90.02,84.01,82.09,82.37,82.89,82.03," 81,40 ",84.42,"81,36","76,80",26.14,46.7
Leste,Salvador,292740,Salvador,32.41,76.24,66.87,75.95,38.15,77.82," 41,16",61.43,"51,11","67,15",29.17,15.82
Centro Leste,Feira de Santana,292750,Santa Bárbara,99.17,98.48,99.84,82.83,87.29,78.01," 85,93",89.4,"85,79","86,85",16.67,20.22
Norte,Paulo Afonso,292760,Santa Brígida,81.01,92.93,91.1,91.83,91.42,92.37," 85,54",90.91,"88,72","93,66",32.62,20.7
Extremo Sul,Porto Seguro,292770,Santa Cruz Cabrália,87.09,88.33,88.52,89.48,90.26,87.43," 89,79",72.36,"64,05","72,95",45.26,51.339999999999996
Sul,Itabuna,292780,Santa Cruz da Vitória,82.87,86.54,81.64,82.52,84.38,84.5," 93,65",92.87,"90,60","94,90",93.34,95.50999999999999
Sul,Jequié,292790,Santa Inês,87.79,94.9,71.31,80.37,75.5,81.6," 82,03",88.55,"62,45","85,94",53.02,71.15
Sul,Ilhéus,292805,Santa Luzia,83.83,87.78,82.11,83.29,71.33,76.84," 78,85",80.93,"78,48","83,90",39.34,70.72
Oeste,Santa Maria da Vitória,292810,Santa Maria da Vitória,85.51,79.01,85.53,60.82,79.09,75.16," 66,73",78.28,"84,64","84,49",72.07000000000001,67.88
Oeste,Barreiras,292840,Santa Rita de Cássia,73.3,93.4,69.14,78.97,81.93,81.9," 78,79",86.89,"86,95","83,71",38.88,35.76
Leste,Santo Antônio de Jesus,292850,Santa Teresinha,89.88,86.85,82.56,79.83,85.33,78.21," 72,86",81.28,"74,93","86,96",73.9,77.07000000000001
Centro Leste,Serrinha,292800,Santaluz,93.58,95.21,93.82,96.75,89.1,89.9," 86,11",89.86,"87,91","97,08",49.14,62.08
Oeste,Santa Maria da Vitória,292820,Santana,85.15,85.17,78.51,73.64,80.22,80.45," 77,07",83.73,"85,11","89,32",40.74,85.2
Centro Leste,Feira de Santana,292830,Santanópolis,95.26,97.32,77.4,90.72,96.19,93.02," 93,09",93.98,"94,67","94,23",85.41000000000001,81.2
Leste,Salvador,292860,Santo Amaro,91.14,89.9,89.71,89.96,91.93,92.48," 82,99",85.55,"96,02","85,43",17.5,19.68
Leste,Santo Antônio de Jesus,292870,Santo Antônio de Jesus,62.29,70.97,58.24,57.42,82.97,83.55," 85,00",87.34,"85,24","79,69",33.74,77.08
Centro Leste,Feira de Santana,292880,Santo Estêvão,80.65,94.51,96.58,93.13,92.21,95.39," 97,57",69.68,"83,61","91,22",8.88,35.08
Oeste,Barreiras,292890,São Desidério,92.4,92.5,92.56,93.98,68.77,74.06," 84,00",87.06,"82,48","82,87",63.85000000000001,55.489999999999995
Centro Leste,Serrinha,292895,São Domingos,84.21,91.23,85.7,76.28,70.74,79.95," 65,30 ",84.93,"85,65","86,27",54.23,57.67
Leste,Santo Antônio de Jesus,292910,São Felipe,71.44,87.52,84.83,94.59,96.48,96.21," 96,09",97.18,"95,55","93,21",72.55,57.32000000000001
Leste,Cruz das Almas,292900,São Félix,82.54,83.18,78.02,83.18,80.26,86.19," 68,33",87.41,"80,76","80,36",38.07000000000001,43.63
Oeste,Santa Maria da Vitória,292905,São Félix do Coribe,91.62,90.87,92.67,69.16,79.86,86.46," 82,01",77.92,"78,17","75,59",31.680000000000003,24.69
Leste,Salvador,292920,São Francisco do Conde,66.28,60.7,52.66,69.34,77.67,76.1," 80,56",81.17,"82,48","82,52",25.35,29.64
Centro Norte,Irecê,292925,São Gabriel,35.84,32.99,35.37,75.14,97.66,82.84," 84,73",73.01,"78,70","82,54",75.3,66.59
Centro Leste,Feira de Santana,292930,São Gonçalo dos Campos,81.14,88.21,83.59,85.56,86.31,84.21," 84,11",84.01,"73,96","77,42",26.0,33.86
Sul,Itabuna,292935,São José da Vitória,74.57,79.7,71.52,70.28,83.55,86.92," 86,17",89.39,"87,63","81,37",29.18,40.5
Centro Norte,Jacobina,292937,São José do Jacuípe,78.3,70.8,46.93,74.13,84.09,81.46," 80,30",84.98,"84,52","86,16",45.61,51.82
Leste,Santo Antônio de Jesus,292940,São Miguel das Matas,86.65,86.02,85.3,91.91,93.51,94.53," 95,34",96.32,"94,68","97,52",47.35,88.98
Leste,Salvador,292950,São Sebastião do Passé,76.18,91.13,92.37,83.91,78.59,78.21," 72,16",76.83,"74,09","80,30",32.75,29.189999999999998
Leste,Cruz das Almas,292960,Sapeaçu,99.4,79.57,100.0,100.0,98.56,96.15," 94,43",97.55,"95,53","97,12",46.41,68.27
Nordeste,Alagoinhas,292970,Sátiro Dias,79.7,86.15,58.87,100.0,80.57,84.15," 76,33",85.5,"88,01","91,31",16.540000000000003,22.1
Leste,Salvador,292975,Saubara,92.19,88.4,89.51,91.13,85.41,94.22," 98,08",99.98,"100,00","100,00",59.150000000000006,100
Centro Norte,Jacobina,292980,Saúde,83.27,87.04,83.93,80.34,89.56,88.91," 82,40",85.53,"86,75","87,85",37.61000000000001,46.129999999999995
Centro Leste,Seabra,292990,Seabra,74.34,77.1,78.29,72.23,72.99,84.06," 82,26",80.77,"79,99","86,59",61.2,81.06
Sudoeste,Guanambi,293000,Sebastião Laranjeiras,85.85,86.48,89.04,93.68,89.54,88.19," 89,83",89.37,"89,18","90,31",60.36,82.6
Norte,Senhor do Bonfim,293010,Senhor do Bonfim,93.54,92.77,98.53,85.57,95.34,94.74," 98,17 ",86.66,"93,17","97,27",26.830000000000005,32.08
Norte,Juazeiro,293020,Sento Sé,85.17,90.64,86.81,61.73,70.06,75.48," 76,16",69.69,"64,21","67,42",11.13,14.71
Oeste,Santa Maria da Vitória,293015,Serra do Ramalho,63.54,66.88,60.94,85.29,86.68,81.71," 83,98",85.91,"78,90","78,69",28.49,30.880000000000003
Oeste,Santa Maria da Vitória,293030,Serra Dourada,87.12,95.26,88.82,84.71,88.49,87.1," 86,21",76.07,"81,48","82,84",71.42,29.24
Centro Leste,Feira de Santana,293040,Serra Preta,71.07,75.73,63.69,74.55,79.28,74.04," 71,86 ",77.55,"79,48","86,01",68.73,30.85
Centro Leste,Serrinha,293050,Serrinha,66.1,89.57,73.87,76.38,79.07,69.02," 75,64",78.39,"76,72","82,50",37.93,23.04
Centro Norte,Jacobina,293060,Serrolândia,88.37,87.45,86.68,87.8,88.39,87.21," 87,17",92.36,"91,49","93,64",34.33,36.65
Leste,Camaçari,293070,Simões Filho,26.5,61.54,49.78,48.54,69.1,83.14," 90,78 ",65.93,"83,25","89,50",15.37,17.84
Oeste,Santa Maria da Vitória,293075,Sítio do Mato,79.07,75.35,76.23,90.36,74.78,61.45," 74,88",87.7,"80,99","81,00",71.62,73.68
Nordeste,Ribeira do Pombal,293076,Sítio do Quinto,85.11,84.9,81.65,85.28,81.82,80.99," 82,88",89.3,"86,88","88,87",38.02,35.23
Norte,Juazeiro,293077,Sobradinho,73.05,76.24,66.23,64.41,83.14,61.49," 84,61 ",60.82,"85,96","85,42",42.47,41.980000000000004
Centro Leste,Seabra,293080,Souto Soares,81.17,80.79,100.0,100.0,81.57,87.23, 100,69.92,"100,00","96,26",22.7,29.830000000000002
Oeste,Barreiras,293090,Tabocas do Brejo Velho,93.25,95.82,98.7,97.46,97.87,97.82," 96,97",96.89,"95,39","93,97",83.84,90.12
Sudoeste,Brumado,293100,Tanhaçu,92.38,93.92,89.98,96.14,82.63,74.82," 74,30",85.41,"88,89","84,58",40.63,34.72
Sudoeste,Guanambi,293105,Tanque Novo,90.18,86.4,84.9,77.5,93.67,97.87," 92,67",94.15,"99,00","99,63",55.080000000000005,57.53
Centro Leste,Feira de Santana,293110,Tanquinho,86.88,86.53,86.11,83.53,90.31,87.72," 91,21",93.87,"88,16","87,60",43.62,55.88999999999999
Sul,Valença,293120,Taperoá,80.21,71.72,63.16,94.93,79.26,65.94," 65,93",75.17,"71,30","74,51",45.830000000000005,20.82
Centro Norte,Jacobina,293130,Tapiramutá,83.73,87.55,86.18,87.93,91.33,90.74," 89,72",89.27,"89,44","88,07",29.21,44.39
Extremo Sul,Teixeira de Freitas,293135,Teixeira de Freitas,57.68,62.97,53.5,50.25,47.43,58.47," 70,54",76.0,"72,30","79,18",60.27,54.98
Centro Leste,Feira de Santana,293140,Teodoro Sampaio,93.92,77.71,70.22,40.55,85.3,84.1," 93,95",85.52,"86,52","85,36",81.59,82.83
Centro Leste,Serrinha,293150,Teofilândia,90.82,91.82,89.91,88.81,89.89,90.56," 87,00",87.5,"87,96","89,42",77.75000000000001,83.59
Sul,Valença,293160,Teolândia,80.62,84.8,82.65,80.59,76.03,77.36,84.51,85.65,"85,87","84,64",77.52,57.17
Centro Leste,Feira de Santana,293170,Terra Nova,92.44,96.02,83.79,88.43,89.98,92.8," 85,65",88.99,"94,22","88,32",39.31,42.15
Sudoeste,Vitória da Conquista,293180,Tremedal,64.34,50.81,80.27,70.24,79.57,77.93," 78,35",98.12,"81,86","88,35",42.63,45.62
Centro Leste,Serrinha,293190,Tucano,75.57,81.58,78.09,71.49,79.08,80.5," 78,91",79.93,"86,28","88,40",47.72,14.87
Norte,Juazeiro,293200,Uauá,98.77,99.85,99.67,100.0,99.97,99.65," 99,32",88.38,"99,07","99,94",99.0,98.31
Leste,Santo Antônio de Jesus,293210,Ubaíra,85.21,84.3,83.81,75.28,76.27,79.14," 80,39",86.55,"84,10","86,62",10.96,35.14
Sul,Itabuna,293220,Ubaitaba,76.13,76.6,64.82,68.31,76.91,73.6," 64,47",78.49,"73,96","76,18",40.63,31.580000000000002
Sul,Itabuna,293230,Ubatã,72.97,78.74,75.21,85.94,80.56,78.29," 73,17",85.4,"84,31","86,22",16.540000000000003,19.08
Centro Norte,Irecê,293240,Uibaí,88.78,91.71,89.39,88.58,89.57,91.97," 91,44",91.97,"90,30","91,72",91.83,91.47999999999999
Centro Norte,Jacobina,293245,Umburanas,81.9,41.39,73.75,64.35,72.76,81.66," 72,42",81.49,"90,45","90,37",87.59,87.49
Sul,Ilhéus,293250,Una,69.87,71.22,66.61,67.4,76.2,70.18," 72,93",83.68,"84,52","82,31",53.12,72.92999999999999
Sudoeste,Guanambi,293260,Urandi,87.1,77.87,74.45,79.65,41.82,71.2," 68,64",69.66,"80,90","76,89",44.330000000000005,44.32
Sul,Ilhéus,293270,Uruçuca,66.91,77.73,49.22,35.74,56.48,58.05," 54,12",55.42,"66,10","81,93",14.03,13.87
Centro Leste,Itaberaba,293280,Utinga,77.23,80.62,77.12,76.81,83.38,80.92," 79,77",79.29,"75,36","84,98",53.1,76.29
Sul,Valença,293290,Valença,65.95,69.09,63.82,60.29,57.0,63.83," 63,23",46.26,"47,44","58,56",26.55,24.169999999999998
Centro Leste,Serrinha,293300,Valente,67.24,71.14,72.79,38.6,72.81,68.88," 69,21",82.77,"83,50","85,39",50.42,74.53
Centro Norte,Jacobina,293305,Várzea da Roça,88.32,87.71,85.63,76.99,88.41,92.92," 89,42",89.08,"88,85","88,13",52.89,84.17999999999999
Centro Norte,Jacobina,293310,Várzea do Poço,90.1,83.26,83.16,88.12,90.42,94.23," 89,45",93.76,"91,55","89,58",82.92,78.24
Centro Norte,Jacobina,293315,Várzea Nova,79.25,84.51,77.21,58.16,75.12,77.95," 71,37",88.31,"85,38","85,57",29.2,31.64
Leste,Santo Antônio de Jesus,293317,Varzedo,94.37,93.66,93.93,93.29,76.37,77.75," 68,32",85.5,"82,39","83,62",39.67,41.39
Leste,Salvador,293320,Vera Cruz,87.13,80.0,85.55,83.89,86.26,79.72," 60,01",54.93,"52,20","67,49",7.22,12.049999999999999
Extremo Sul,Teixeira de Freitas,293325,Vereda,68.68,84.32,44.74,53.47,88.7,87.19," 86,42",84.81,"86,06","86,54",41.47,40.400000000000006
Sudoeste,Vitória da Conquista,293330,Vitória da Conquista,95.6,94.54,95.28,96.91,95.39,97.2," 95,45",98.29,"98,24","97,64",28.21,29.04
Centro Leste,Itaberaba,293340,Wagner,85.47,84.56,84.03,80.52,87.07,86.34," 86,13",93.76,"91,29","92,74",46.7,47.589999999999996
Oeste,Barreiras,293345,Wanderley,69.42,77.99,66.22,69.36,78.49,75.0," 76,89 ",82.98,"79,78","79,97",77.77000000000001,73.99
Sul,Valença,293350,Wenceslau Guimarães,41.73,87.27,35.44,89.45,87.22,84.48," 84,75",78.92,"86,28","84,76",21.71,55.7
Centro Norte,Irecê,293360,Xique-Xique,94.04,63.11,59.53,68.51,73.83,66.8," 71,36",81.34,"75,82","80,08",34.93,42.95
